,Unnamed: 0,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,home_losses,home_wins,losses,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins,AdjTempo,AdjOE,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,AdjDE,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,AvgHgt,EffHgt,C-Hgt,PF-Hgt,SF-Hgt,SG-Hgt,PG-Hgt,Experience,Bench,Continuity,Tempo-Adj,Avg. Poss Length-Offense,Avg. Poss Length-Defense,Off. Efficiency-Adj,Def. Efficiency-Adj,Off-FT,Off-2P,Off-3P,Def-FT,Def-2P,Def-3P,Unnamed: 0_2,abbreviation_2,assist_percentage_2,assists_2,away_losses_2,away_wins_2,block_percentage_2,blocks_2,defensive_rebounds_2,effective_field_goal_percentage_2,field_goal_attempts_2,field_goal_percentage_2,field_goals_2,free_throw_attempt_rate_2,free_throw_attempts_2,free_throw_percentage_2,free_throws_2,free_throws_per_field_goal_attempt_2,home_losses_2,home_wins_2,losses_2,offensive_rating_2,offensive_rebound_percentage_2,offensive_rebounds_2,opp_assist_percentage_2,opp_assists_2,opp_block_percentage_2,opp_blocks_2,opp_defensive_rebounds_2,opp_effective_field_goal_percentage_2,opp_field_goal_attempts_2,opp_field_goal_percentage_2,opp_field_goals_2,opp_free_throw_attempt_rate_2,opp_free_throw_attempts_2,opp_free_throw_percentage_2,opp_free_throws_2,opp_free_throws_per_field_goal_attempt_2,opp_offensive_rebound_percentage_2,opp_offensive_rebounds_2,opp_personal_fouls_2,opp_points_2,opp_steal_percentage_2,opp_steals_2,opp_three_point_attempt_rate_2,opp_three_point_field_goal_attempts_2,opp_three_point_field_goal_percentage_2,opp_three_point_field_goals_2,opp_two_point_field_goal_attempts_2,opp_two_point_field_goal_percentage_2,opp_two_point_field_goals_2,opp_total_rebound_percentage_2,opp_total_rebounds_2,opp_true_shooting_percentage_2,opp_turnover_percentage_2,opp_turnovers_2,pace_2,personal_fouls_2,points_2,simple_rating_system_2,steal_percentage_2,steals_2,strength_of_schedule_2,three_point_attempt_rate_2,three_point_field_goal_attempts_2,three_point_field_goal_percentage_2,three_point_field_goals_2,two_point_field_goal_attempts_2,two_point_field_goal_percentage_2,two_point_field_goals_2,total_rebound_percentage_2,total_rebounds_2,true_shooting_percentage_2,turnover_percentage_2,turnovers_2,win_percentage_2,wins_2,AdjTempo_2,AdjOE_2,Off-eFG%_2,Off-TO%_2,Off-OR%_2,Off-FTRate_2,AdjDE_2,Def-eFG%_2,Def-TO%_2,Def-OR%_2,Def-FTRate_2,AvgHgt_2,EffHgt_2,C-Hgt_2,PF-Hgt_2,SF-Hgt_2,SG-Hgt_2,PG-Hgt_2,Experience_2,Bench_2,Continuity_2,Tempo-Adj_2,Avg. Poss Length-Offense_2,Avg. Poss Length-Defense_2,Off. Efficiency-Adj_2,Def. Efficiency-Adj_2,Off-FT_2,Off-2P_2,Off-3P_2,Def-FT_2,Def-2P_2,Def-3P_2,points_for,points_against,location_home,location_away,location_neutral
0,0,ABILENE-CHRISTIAN,0.5479999999999999,0.3833333333333333,1,0,0.11,0.0833333333333333,0.625,0.534,1.475,0.475,0.7,0.305,0.45,0.704,0.3166666666666666,0.215,0,2,1,101.3,0.294,0.25,0.3829999999999999,0.1916666666666666,0.053,0.05,0.6,0.453,1.2333333333333334,0.405,0.5,0.432,0.5333333333333333,0.703,0.375,0.304,0.242,0.2,0.4666666666666667,1.4916666666666667,0.1159999999999999,0.2166666666666666,0.385,0.475,0.246,0.1166666666666666,0.7583333333333333,0.505,0.3833333333333333,0.478,0.8,0.502,0.273,0.5583333333333333,74.7,0.475,1.8916666666666664,0.82,0.156,0.2916666666666667,5.82,0.356,0.525,0.333,0.175,0.95,0.553,0.525,0.522,0.875,0.56,0.21,0.45,0.667,2,0.7170000000000001,0.997,0.4679999999999999,0.25,0.211,0.294,0.955,0.495,0.278,0.317,0.495,0.754,-0.016,-0.011,-0.02,-0.0069999999999999,-0.008,-0.0409999999999999,0.0174,0.326,0.5589999999999999,71.7,16.3,16.8,99.7,95.5,17.1,43.9,39.0,26.3,55.6,18.0,0,JACKSON-STATE,0.434,0.2771084337349397,2,0,0.048,0.036144578313253,0.7108433734939759,0.428,1.5903614457831323,0.402,0.6385542168674698,0.227,0.3614457831325301,0.733,0.2650602409638554,0.167,0,0,2,87.1,0.286,0.2891566265060241,0.569,0.3493975903614458,0.105,0.1204819277108433,0.7228915662650602,0.522,1.3734939759036144,0.447,0.6144578313253012,0.395,0.5421686746987951,0.689,0.3734939759036144,0.272,0.145,0.1204819277108433,0.3734939759036144,1.8072289156626504,0.09,0.1686746987951807,0.447,0.6144578313253012,0.333,0.2048192771084337,0.7590361445783133,0.54,0.4096385542168674,0.4579999999999999,0.8433734939759037,0.554,0.181,0.3614457831325301,74.4,0.4819277108433735,1.6265060240963856,-12.02,0.103,0.1927710843373494,-4.52,0.28,0.4457831325301205,0.189,0.0843373493975903,1.144578313253012,0.484,0.5542168674698795,0.542,1.0,0.462,0.18,0.3855421686746988,0.0,0,0.733,0.912,0.428,0.207,0.286,0.2269999999999999,1.025,0.522,0.1939999999999999,0.145,0.395,0.7609999999999999,-0.008,-0.006,-0.01,-0.001,-0.004,-0.031,0.0187,0.357,0.207,73.3,15.7,15.7,91.2,102.5,16.3,68.1,15.6,20.7,45.3,34.0,65,56,1,0,0
0,0,ABILENE-CHRISTIAN,0.5479999999999999,0.3833333333333333,1,0,0.11,0.0833333333333333,0.625,0.534,1.475,0.475,0.7,0.305,0.45,0.704,0.3166666666666666,0.215,0,2,1,101.3,0.294,0.25,0.3829999999999999,0.1916666666666666,0.053,0.05,0.6,0.453,1.2333333333333334,0.405,0.5,0.432,0.5333333333333333,0.703,0.375,0.304,0.242,0.2,0.4666666666666667,1.4916666666666667,0.1159999999999999,0.2166666666666666,0.385,0.475,0.246,0.1166666666666666,0.7583333333333333,0.505,0.3833333333333333,0.478,0.8,0.502,0.273,0.5583333333333333,74.7,0.475,1.8916666666666664,0.82,0.156,0.2916666666666667,5.82,0.356,0.525,0.333,0.175,0.95,0.553,0.525,0.522,0.875,0.56,0.21,0.45,0.667,2,0.7170000000000001,0.997,0.4679999999999999,0.25,0.211,0.294,0.955,0.495,0.278,0.317,0.495,0.754,-0.016,-0.011,-0.02,-0.0069999999999999,-0.008,-0.0409999999999999,0.0174,0.326,0.5589999999999999,71.7,16.3,16.8,99.7,95.5,17.1,43.9,39.0,26.3,55.6,18.0,0,TEXAS-AM,0.509,0.35,0,0,0.0819999999999999,0.075,0.75,0.598,1.3375,0.514,0.6875,0.495,0.6625,0.679,0.45,0.336,0,2,0,112.3,0.349,0.275,0.5,0.225,0.062,0.05,0.5125,0.369,1.3875,0.324,0.45,0.36,0.5,0.75,0.375,0.27,0.241,0.2375,0.5,1.4,0.144,0.2625,0.342,0.475,0.263,0.125,0.9125,0.356,0.325,0.423,0.75,0.431,0.222,0.4625,72.8,0.525,2.05,15.24,0.096,0.175,-10.76,0.393,0.525,0.429,0.225,0.8125,0.569,0.4625,0.5770000000000001,1.025,0.62,0.2,0.4125,1.0,2,0.7090000000000001,1.067,0.528,0.1989999999999999,0.3779999999999999,0.455,0.915,0.441,0.245,0.255,0.472,0.767,-0.005,-0.008,-0.002,-0.0,-0.006,-0.006,0.0209,0.424,0.493,70.9,15.9,16.5,106.7,91.5,22.6,47.7,29.6,29.0,41.0,30.0,58,77,0,1,0
0,0,AIR-FORCE,0.5920000000000001,0.336,1,0,0.161,0.12,0.688,0.522,1.288,0.441,0.568,0.342,0.44,0.618,0.272,0.211,1,1,2,95.3,0.1939999999999999,0.16,0.515,0.272,0.11,0.072,0.664,0.448,1.392,0.379,0.528,0.408,0.568,0.704,0.4,0.287,0.271,0.256,0.464,1.648,0.099,0.168,0.466,0.648,0.296,0.192,0.744,0.452,0.336,0.52,0.92,0.496,0.155,0.304,67.8,0.496,1.616,-22.5,0.099,0.168,-21.16,0.491,0.632,0.329,0.208,0.656,0.549,0.36,0.48,0.848,0.54,0.187,0.344,0.333,1,0.6709999999999999,0.94,0.522,0.203,0.1939999999999999,0.342,1.005,0.4479999999999999,0.179,0.271,0.408,0.775,-0.008,-0.001,-0.015,-0.001,0.008,0.031,0.0139,0.311,0.71,67.1,18.5,16.6,94.0,100.5,16.8,44.6,38.6,24.3,40.8,35.0,0,BOWLING-GREEN-STATE,0.41,0.2666666666666666,1,1,0.057,0.05,0.6583333333333333,0.471,1.5833333333333333,0.411,0.65,0.3,0.475,0.719,0.3416666666666667,0.216,0,1,1,101.4,0.336,0.3333333333333333,0.518,0.3583333333333333,0.1,0.1,0.6583333333333333,0.543,1.4416666666666669,0.48,0.6916666666666667,0.266,0.3833333333333333,0.696,0.2666666666666666,0.185,0.186,0.15,0.375,1.8333333333333333,0.088,0.1583333333333333,0.393,0.5666666666666667,0.324,0.1833333333333333,0.875,0.581,0.5083333333333333,0.449,0.8083333333333333,0.565,0.1669999999999999,0.325,72.3,0.425,1.8333333333333333,-19.8,0.111,0.2,-19.8,0.368,0.5833333333333334,0.329,0.1916666666666666,1.0,0.458,0.4583333333333333,0.551,0.9916666666666668,0.507,0.159,0.3416666666666667,0.667,2,0.7290000000000001,0.98,0.471,0.1889999999999999,0.336,0.3,1.061,0.5429999999999999,0.18,0.186,0.266,0.765,-0.0069999999999999,-0.009,-0.004,-0.005,0.003,-0.015,0.0179,0.288,0.3879999999999999,72.9,16.7,16.2,98.0,106.1,18.6,50.0,31.4,14.5,55.5,30.0,58,62,0,1,0
0,0,AIR-FORCE,0.5920000000000001,0.336,1,0,0.161,0.12,0.688,0.522,1.288,0.441,0.568,0.342,0.44,0.618,0.272,0.211,1,1,2,95.3,0.1939999999999999,0.16,0.515,0.272,0.11,0.072,0.664,0.448,1.392,0.379,0.528,0.408,0.568,0.704,0.4,0.287,0.271,0.256,0.464,1.648,0.099,0.168,0.466,0.648,0.296,0.192,0.744,0.452,0.336,0.52,0.92,0.496,0.155,0.304,67.8,0.496,1.616,-22.5,0.099,0.168,-21.16,0.491,0.632,0.329,0.208,0.656,0.549,0.36,0.48,0.848,0.54,0.187,0.344,0.333,1,0.6709999999999999,0.94,0.522,0.203,0.1939999999999999,0.342,1.005,0.4479999999999999,0.179,0.271,0.408,0.775,-0.008,-0.001,-0.015,-0.001,0.008,0.031,0.0139,0.311,0.71,67.1,18.5,16.6,94.0,100.5,16.8,44.6,38.6,24.3,40.8,35.0,0,DELAWARE,0.417,0.25,1,0,0.192,0.175,0.7,0.475,1.475,0.407,0.6,0.441,0.65,0.712,0.4625,0.314,0,1,1,104.9,0.313,0.3125,0.5429999999999999,0.3125,0.118,0.1,0.6875,0.461,1.4375,0.4,0.575,0.313,0.45,0.639,0.2875,0.2,0.263,0.25,0.5125,1.6125,0.099,0.175,0.365,0.525,0.333,0.175,0.9125,0.438,0.4,0.481,0.9375,0.488,0.19,0.3875,71.2,0.4875,1.8625,-26.03,0.106,0.1875,-22.03,0.424,0.625,0.32,0.2,0.85,0.471,0.4,0.519,1.0125,0.522,0.144,0.3,0.5,1,0.7,1.007,0.4039999999999999,0.118,0.293,0.526,1.021,0.547,0.192,0.303,0.472,0.765,-0.017,-0.024,-0.01,-0.001,0.003,0.003,0.0279,0.198,0.4,70.0,15.3,19.8,100.7,102.1,35.2,31.0,33.8,22.7,45.3,32.0,75,71,1,0,0
0,0,AIR-FORCE,0.5920000000000001,0.336,1,0,0.161,0.12,0.688,0.522,1.288,0.441,0.568,0.342,0.44,0.618,0.272,0.211,1,1,2,95.3,0.1939999999999999,0.16,0.515,0.272,0.11,0.072,0.664,0.448,1.392,0.379,0.528,0.408,0.568,0.704,0.4,0.287,0.271,0.256,0.464,1.648,0.099,0.168,0.466,0.648,0.296,0.192,0.744,0.452,0.336,0.52,0.92,0.496,0.155,0.304,67.8,0.496,1.616,-22.5,0.099,0.168,-21.16,0.491,0.632,0.329,0.208,0.656,0.549,0.36,0.48,0.848,0.54,0.187,0.344,0.333,1,0.6709999999999999,0.94,0.522,0.203,0.1939999999999999,0.342,1.005,0.4479999999999999,0.179,0.271,0.408,0.775,-0.008,-0.001,-0.015,-0.001,0.008,0.031,0.0139,0.311,0.71,67.1,18.5,16.6,94.0,100.5,16.8,44.6,38.6,24.3,40.8,35.0,0,TEXAS-AM-COMMERCE,0.461,0.28,2,1,0.099,0.072,0.568,0.468,1.488,0.409,0.608,0.306,0.456,0.632,0.288,0.194,0,0,2,97.2,0.289,0.28,0.5710000000000001,0.352,0.131,0.112,0.688,0.56,1.264,0.487,0.616,0.449,0.568,0.69,0.392,0.31,0.228,0.168,0.472,1.808,0.0969999999999999,0.168,0.424,0.536,0.343,0.184,0.728,0.593,0.432,0.502,0.856,0.589,0.19,0.36,69.1,0.504,1.68,-16.41,0.083,0.144,-11.08,0.425,0.632,0.278,0.176,0.856,0.505,0.432,0.498,0.848,0.493,0.151,0.304,0.333,1,0.6920000000000001,0.972,0.4679999999999999,0.176,0.289,0.306,1.075,0.56,0.208,0.228,0.449,0.765,0.001,-0.003,0.005,-0.016,-0.018,0.001,0.0060999999999999,0.396,0.0,69.2,18.5,16.8,97.2,107.5,17.1,51.4,31.4,21.7,47.8,30.5,69,73,1,0,0
0,0,AKRON,0.618,0.336,0,0,0.0969999999999999,0.104,0.52,0.444,1.432,0.38,0.544,0.352,0.504,0.651,0.328,0.229,0,2,1,98.0,0.282,0.28,0.5,0.336,0.146,0.112,0.712,0.52,1.424,0.472,0.672,0.208,0.296,0.73,0.216,0.152,0.337,0.264,0.504,1.696,0.078,0.128,0.247,0.352,0.386,0.136,1.072,0.5,0.536,0.55,0.976,0.542,0.177,0.336,65.2,0.344,1.6,2.44,0.103,0.168,6.44,0.464,0.664,0.277,0.184,0.768,0.469,0.36,0.45,0.8,0.479,0.122,0.232,0.667,2,0.653,1.024,0.444,0.142,0.282,0.352,0.987,0.52,0.206,0.337,0.208,0.75,-0.021,-0.013,-0.03,-0.034,-0.022,-0.005,0.0289999999999999,0.211,0.505,65.3,18.8,17.5,102.4,98.7,20.5,45.0,34.5,12.7,63.2,24.1,0,SOUTH-DAKOTA-STATE,0.486,0.28,1,1,0.104,0.096,0.696,0.53,1.192,0.483,0.576,0.47,0.56,0.8,0.448,0.376,0,0,1,94.7,0.134,0.088,0.4429999999999999,0.28,0.09,0.072,0.568,0.487,1.488,0.425,0.632,0.194,0.288,0.778,0.224,0.151,0.1939999999999999,0.168,0.48,1.672,0.124,0.224,0.382,0.568,0.324,0.184,0.92,0.487,0.448,0.484,0.736,0.515,0.168,0.328,72.2,0.32,1.712,3.63,0.066,0.12,1.96,0.329,0.392,0.286,0.112,0.8,0.58,0.464,0.516,0.784,0.587,0.238,0.456,0.667,2,0.7440000000000001,1.039,0.48,0.252,0.14,0.439,0.99,0.494,0.2,0.21,0.206,0.767,-0.003,-0.0069999999999999,0.001,-0.01,-0.005,-0.001,0.0242,0.276,0.5760000000000001,74.4,15.1,17.4,103.9,99.0,27.0,54.1,18.9,12.9,55.0,32.1,81,80,1,0,0
0,0,AKRON,0.618,0.336,0,0,0.0969999999999999,0.104,0.52,0.444,1.432,0.38,0.544,0.352,0.504,0.651,0.328,0.229,0,2,1,98.0,0.282,0.28,0.5,0.336,0.146,0.112,0.712,0.52,1.424,0.472,0.672,0.208,0.296,0.73,0.216,0.152,0.337,0.264,0.504,1.696,0.078,0.128,0.247,0.352,0.386,0.136,1.072,0.5,0.536,0.55,0.976,0.542,0.177,0.336,65.2,0.344,1.6,2.44,0.103,0.168,6.44,0.464,0.664,0.277,0.184,0.768,0.469,0.36,0.45,0.8,0.479,0.122,0.232,0.667,2,0.653,1.024,0.444,0.142,0.282,0.352,0.987,0.52,0.206,0.337,0.208,0.75,-0.021,-0.013,-0.03,-0.034,-0.022,-0.005,0.0289999999999999,0.211,0.505,65.3,18.8,17.5,102.4,98.7,20.5,45.0,34.5,12.7,63.2,24.1,0,MISSISSIPPI-STATE,0.614,0.425,0,0,0.144,0.1083333333333333,0.7666666666666667,0.528,1.4666666666666666,0.472,0.6916666666666667,0.256,0.375,0.667,0.25,0.17,0,2,0,107.5,0.382,0.325,0.596,0.2583333333333333,0.054,0.05,0.525,0.367,1.3833333333333333,0.313,0.4333333333333333,0.199,0.275,0.697,0.1916666666666666,0.139,0.24,0.2416666666666666,0.3916666666666666,1.2083333333333333,0.109,0.1833333333333333,0.458,0.6333333333333333,0.237,0.15,0.75,0.378,0.2833333333333333,0.413,0.7666666666666667,0.399,0.209,0.4,66.8,0.3083333333333333,1.8,23.61,0.179,0.3,-0.06,0.369,0.5416666666666666,0.308,0.1666666666666666,0.925,0.568,0.525,0.5870000000000001,1.0916666666666666,0.547,0.175,0.35,1.0,3,0.6829999999999999,1.071,0.528,0.209,0.382,0.256,0.905,0.367,0.239,0.24,0.1989999999999999,0.778,0.01,0.016,0.004,0.0139999999999999,-0.0069999999999999,0.005,0.0246,0.442,0.407,68.3,17.7,17.7,107.1,90.5,13.9,58.3,27.8,15.9,46.9,37.2,54,73,0,0,1
0,0,AKRON,0.618,0.336,0,0,0.0969999999999999,0.104,0.52,0.444,1.432,0.38,0.544,0.352,0.504,0.651,0.328,0.229,0,2,1,98.0,0.282,0.28,0.5,0.336,0.146,0.112,0.712,0.52,1.424,0.472,0.672,0.208,0.296,0.73,0.216,0.152,0.337,0.264,0.504,1.696,0.078,0.128,0.247,0.352,0.386,0.136,1.072,0.5,0.536,0.55,0.976,0.542,0.177,0.336,65.2,0.344,1.6,2.44,0.103,0.168,6.44,0.464,0.664,0.277,0.184,0.768,0.469,0.36,0.45,0.8,0.479,0.122,0.232,0.667,2,0.653,1.024,0.444,0.142,0.282,0.352,0.987,0.52,0.206,0.337,0.208,0.75,-0.021,-0.013,-0.03,-0.034,-0.022,-0.005,0.0289999999999999,0.211,0.505,65.3,18.8,17.5,102.4,98.7,20.5,45.0,34.5,12.7,63.2,24.1,0,MORGAN-STATE,0.545,0.41875,3,0,0.156,0.14375,0.5375,0.5,1.7,0.452,0.76875,0.221,0.375,0.733,0.275,0.162,0,1,3,102.6,0.4039999999999999,0.39375,0.598,0.3625,0.122,0.15625,0.58125,0.472,1.43125,0.424,0.60625,0.445,0.6375,0.618,0.39375,0.275,0.423,0.39375,0.38125,1.74375,0.143,0.275,0.358,0.5125,0.268,0.1375,0.91875,0.51,0.46875,0.511,0.975,0.503,0.251,0.58125,77.1,0.6375,1.975,-10.11,0.172,0.33125,4.56,0.246,0.41875,0.388,0.1625,1.28125,0.473,0.60625,0.489,0.93125,0.526,0.193,0.45,0.25,1,0.7390000000000001,0.924,0.401,0.245,0.372,0.193,1.023,0.509,0.25,0.4529999999999999,0.515,0.764,-0.001,-0.004,0.003,-0.003,-0.011,-0.018,0.0171,0.37,0.291,73.9,15.4,16.9,92.4,102.3,15.1,59.1,25.8,24.3,52.2,23.5,65,59,1,0,0
0,0,ALABAMA,0.461,0.2916666666666667,0,1,0.182,0.2,0.9666666666666668,0.463,1.575,0.402,0.6333333333333333,0.444,0.7,0.714,0.5,0.317,0,2,0,104.9,0.465,0.4916666666666666,0.431,0.2083333333333333,0.087,0.075,0.5666666666666667,0.332,1.6416666666666666,0.294,0.4833333333333333,0.289,0.475,0.649,0.3083333333333333,0.188,0.221,0.275,0.525,1.4,0.094,0.175,0.33,0.5416666666666666,0.231,0.125,1.1,0.326,0.3583333333333333,0.366,0.8416666666666667,0.375,0.128,0.275,74.8,0.4916666666666666,1.9583333333333333,28.68,0.08,0.15,6.35,0.45,0.7083333333333334,0.271,0.1916666666666666,0.8666666666666667,0.51,0.4416666666666666,0.634,1.4583333333333333,0.513,0.1939999999999999,0.4583333333333333,1.0,3,0.752,1.11,0.4629999999999999,0.245,0.465,0.444,0.8909999999999999,0.332,0.147,0.221,0.289,0.784,0.018,0.016,0.02,0.018,0.006,0.005,0.0127,0.3279999999999999,0.193,75.2,14.7,17.3,111.0,89.1,25.5,45.1,29.4,22.0,51.2,26.8,0,LONGWOOD,0.381,0.2666666666666666,2,0,0.066,0.0583333333333333,0.6916666666666667,0.472,1.625,0.431,0.7,0.303,0.4916666666666666,0.661,0.325,0.2,0,1,2,99.1,0.252,0.2583333333333333,0.519,0.35,0.104,0.125,0.7666666666666667,0.489,1.5833333333333333,0.426,0.675,0.337,0.5333333333333333,0.625,0.3333333333333333,0.211,0.308,0.3083333333333333,0.45,1.8833333333333333,0.084,0.1583333333333333,0.442,0.7,0.286,0.2,0.8833333333333333,0.538,0.475,0.531,1.075,0.513,0.154,0.3333333333333333,75.1,0.475,1.8583333333333332,-0.41,0.084,0.1583333333333333,17.09,0.262,0.425,0.314,0.1333333333333333,1.2,0.472,0.5666666666666667,0.469,0.95,0.5,0.136,0.2916666666666667,0.333,1,0.706,1.0,0.392,0.149,0.223,0.2769999999999999,1.007,0.508,0.204,0.39,0.418,0.762,-0.016,-0.023,-0.008,-0.004,-0.012,0.001,0.024,0.369,0.667,70.6,17.1,15.9,100.0,100.7,17.1,63.4,19.5,21.5,55.7,22.8,75,54,1,0,0
0,0,ALABAMA,0.461,0.2916666666666667,0,1,0.182,0.2,0.9666666666666668,0.463,1.575,0.402,0.6333333333333333,0.444,0.7,0.714,0.5,0.317,0,2,0,104.9,0.465,0.4916666666666666,0.431,0.2083333333333333,0.087,0.075,0.5666666666666667,0.332,1.6416666666666666,0.294,0.4833333333333333,0.289,0.475,0.649,0.3083333333333333,0.188,0.221,0.275,0.525,1.4,0.094,0.175,0.33,0.5416666666666666,0.231,0.125,1.1,0.326,0.3583333333333333,0.366,0.8416666666666667,0.375,0.128,0.275,74.8,0.4916666666666666,1.9583333333333333,28.68,0.08,0.15,6.35,0.45,0.7083333333333334,0.271,0.1916666666666666,0.8666666666666667,0.51,0.4416666666666666,0.634,1.4583333333333333,0.513,0.1939999999999999,0.4583333333333333,1.0,3,0.752,1.11,0.4629999999999999,0.245,0.465,0.444,0.8909999999999999,0.332,0.147,0.221,0.289,0.784,0.018,0.016,0.02,0.018,0.006,0.005,0.0127,0.3279999999999999,0.193,75.2,14.7,17.3,111.0,89.1,25.5,45.1,29.4,22.0,51.2,26.8,0,LIBERTY,0.6859999999999999,0.4916666666666666,1,0,0.092,0.0666666666666666,0.6583333333333333,0.555,1.525,0.47,0.7166666666666667,0.279,0.425,0.765,0.325,0.213,0,2,1,112.0,0.262,0.225,0.5589999999999999,0.275,0.113,0.0916666666666666,0.6333333333333333,0.465,1.2916666666666667,0.381,0.4916666666666666,0.426,0.55,0.788,0.4333333333333333,0.335,0.233,0.2,0.4833333333333333,1.6333333333333333,0.0969999999999999,0.175,0.439,0.5666666666666667,0.382,0.2166666666666666,0.725,0.379,0.275,0.485,0.8333333333333334,0.526,0.225,0.45,71.9,0.4333333333333333,2.0166666666666666,-0.68,0.106,0.1916666666666666,9.32,0.47,0.7166666666666667,0.36,0.2583333333333333,0.8083333333333333,0.567,0.4583333333333333,0.515,0.8833333333333333,0.584,0.144,0.2916666666666667,0.667,2,0.6779999999999999,1.057,0.513,0.18,0.2289999999999999,0.233,0.975,0.5670000000000001,0.2019999999999999,0.283,0.49,0.752,-0.008,-0.0139999999999999,-0.0,-0.009,-0.033,-0.039,0.0218,0.353,0.696,67.8,19.1,15.3,105.7,97.5,13.8,44.9,41.3,25.3,36.7,38.0,95,59,1,0,0
