,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,conference_losses,conference_wins,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,games_played,home_losses,home_wins,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
ABILENE-CHRISTIAN,ABILENE-CHRISTIAN,61.8,89,2,1,8.6,13,0,0,116,0.488,328,0.439,144,0.329,108,0.676,73,0.223,5,0,2,2,215,101,31.9,65,57.1,60,7.7,17,139,0.476,254,0.413,105,0.457,116,0.698,81,0.319,29.7,49,108,323,9.3,36,0.402,102,0.314,32,152,0.48,73,50.9,188,0.522,29.6,130,72.4,111,393,4.54,18.5,72,6.54,0.329,108,0.296,32,220,0.509,112,49.1,181,0.518,16.3,74,0.6,3
AIR-FORCE,AIR-FORCE,54.5,90,0,1,10.6,26,0,0,168,0.568,339,0.487,165,0.26,88,0.659,58,0.171,7,0,3,1,280,99.3,19.7,36,38.5,55,8.2,15,147,0.449,354,0.404,143,0.331,117,0.744,87,0.246,27.6,64,119,405,9,40,0.308,109,0.294,32,245,0.453,111,50.8,211,0.494,19.1,97,63.7,123,443,-5.97,10.5,47,-11.4,0.457,155,0.355,55,184,0.598,110,49.2,204,0.582,21.5,104,0.857,6
AKRON,AKRON,41.9,65,1,0,9.3,20,0,0,163,0.516,346,0.448,155,0.324,112,0.598,67,0.194,6,0,2,3,240,106.8,35.3,72,35,41,7.5,15,132,0.408,325,0.36,117,0.28,91,0.725,66,0.203,23.8,51,108,331,8.3,33,0.342,111,0.279,31,214,0.402,86,43.8,183,0.449,17.7,79,66.2,104,424,-5.49,10.6,42,0.51,0.425,147,0.32,47,199,0.543,108,56.2,235,0.531,15.1,71,0.5,3
ALABAMA-AM,ALABAMA-AM,43.8,49,4,0,6.5,11,0,0,111,0.379,327,0.343,112,0.202,66,0.758,50,0.153,5,0,1,4,200,81.9,24.3,54,68.8,97,8.7,21,168,0.563,304,0.464,141,0.28,85,0.753,64,0.211,35.8,62,72,406,9.3,34,0.444,135,0.444,60,169,0.479,81,58.2,230,0.589,18.3,77,72.8,81,298,-19.73,11.5,42,1.87,0.26,85,0.282,24,242,0.364,88,41.8,165,0.416,15.2,64,0.2,1
ALABAMA-BIRMINGHAM,ALABAMA-BIRMINGHAM,45.9,100,1,0,12.1,29,0,0,172,0.536,460,0.474,218,0.278,128,0.688,88,0.191,7,0,4,2,280,112.4,31.7,85,51.9,81,6.4,19,183,0.499,366,0.426,156,0.342,125,0.696,87,0.238,26.5,62,115,452,6.6,34,0.347,127,0.417,53,239,0.431,103,48.8,245,0.531,26.5,153,73.9,129,581,14.77,18.4,95,-0.56,0.35,161,0.354,57,299,0.538,161,51.2,257,0.558,13.6,82,0.714,5
ALABAMA-STATE,ALABAMA-STATE,42.8,92,5,0,12.1,37,0,0,211,0.512,468,0.459,215,0.348,163,0.669,109,0.233,8,1,2,6,325,95.3,29.6,80,52.9,120,9.9,32,190,0.496,525,0.432,227,0.337,177,0.695,123,0.234,32.6,102,136,644,10.9,67,0.419,220,0.305,67,305,0.525,160,50.1,292,0.529,15.6,113,76,169,588,-5.05,9.9,61,6.66,0.308,144,0.34,49,324,0.512,166,49.9,291,0.539,21.5,149,0.25,2
ALABAMA,ALABAMA,47.7,106,0,0,13.1,36,0,0,214,0.56,458,0.485,222,0.293,134,0.649,87,0.19,7,0,4,1,280,114.5,36.3,94,36.7,66,5.1,13,165,0.459,437,0.412,180,0.304,133,0.639,85,0.195,25.2,72,126,486,9.4,49,0.371,162,0.253,41,275,0.505,139,43.5,237,0.486,15.7,93,74.8,120,600,23.22,9.2,48,6.94,0.441,202,0.342,69,256,0.598,153,56.5,308,0.575,16,99,0.857,6
ALBANY-NY,ALBANY-NY,42.6,55,3,0,5.9,13,0,0,130,0.444,330,0.391,129,0.315,104,0.663,69,0.209,6,2,0,5,240,86.6,22,47,51.6,80,11.8,25,167,0.513,343,0.452,155,0.315,108,0.713,77,0.224,33.3,65,106,429,8.1,34,0.359,123,0.341,42,220,0.514,113,56.7,232,0.544,18.2,88,69.7,118,362,-12.01,11.2,47,-0.84,0.358,118,0.297,35,212,0.443,94,43.3,177,0.477,18.7,87,0.167,1
ALCORN-STATE,ALCORN-STATE,42.4,59,5,1,8,14,0,0,142,0.425,359,0.387,139,0.226,81,0.778,63,0.175,6,0,0,5,240,90.4,29.5,67,63.6,91,9.6,26,160,0.509,322,0.444,143,0.394,127,0.717,91,0.283,26,50,101,419,7.4,30,0.46,148,0.284,42,174,0.58,101,50.1,210,0.548,16.4,75,67.9,118,368,-4.46,11.1,45,4.04,0.245,88,0.307,27,271,0.413,112,49.9,209,0.463,16.2,77,0.167,1
AMERICAN,AMERICAN,48.9,91,4,1,10,26,0,0,172,0.493,421,0.442,186,0.216,91,0.659,60,0.143,7,0,1,5,285,93.3,17.8,45,47.1,98,8.5,24,208,0.583,408,0.51,208,0.328,134,0.642,86,0.211,22.9,51,96,562,10.2,52,0.365,149,0.403,60,259,0.571,148,54.4,259,0.596,15.4,86,71.4,121,475,-20.36,9.2,47,-7.93,0.333,140,0.307,43,281,0.509,143,45.6,217,0.512,16.5,92,0.286,2
