,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,home_losses,home_wins,losses,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins,avg_weight,avg_height
0,ABILENE-CHRISTIAN,0.5539999999999999,0.3736434108527132,9,6,0.11599999999999999,0.09922480620155039,0.6077519379844961,0.521,1.4527131782945737,0.464,0.6744186046511628,0.309,0.44883720930232557,0.701,0.3147286821705426,0.217,6,9,16,102.3,0.28,0.23953488372093024,0.48100000000000004,0.2868217054263566,0.075,0.07054263565891473,0.6155038759689923,0.499,1.363565891472868,0.438,0.5968992248062015,0.422,0.575968992248062,0.707,0.4069767441860465,0.298,0.285,0.24263565891472869,0.4310077519379845,1.7666666666666666,0.08900000000000001,0.15891472868217055,0.374,0.5093023255813953,0.326,0.16589147286821707,0.8542635658914729,0.505,0.4310077519379845,0.503,0.858139534883721,0.54,0.195,0.39689922480620154,71.5,0.5201550387596899,1.8286821705426357,-9.14,0.113,0.20155038759689922,-6.82,0.35,0.5085271317829457,0.325,0.16511627906976745,0.9441860465116279,0.539,0.5093023255813953,0.49700000000000005,0.8472868217054264,0.549,0.177,0.3573643410852713,0.5,16,203.57142857142858,76.28571428571429
0,AIR-FORCE,0.607,0.357429718875502,10,3,0.081,0.06265060240963856,0.5718875502008032,0.49,1.406425702811245,0.419,0.5887550200803213,0.318,0.4465863453815261,0.734,0.327710843373494,0.233,7,9,19,100.8,0.275,0.242570281124498,0.5720000000000001,0.35903614457831323,0.106,0.08514056224899598,0.6385542168674698,0.549,1.3542168674698796,0.463,0.6273092369477912,0.328,0.44417670682730925,0.712,0.3164658634538153,0.234,0.278,0.22008032128514057,0.4674698795180723,1.8024096385542168,0.083,0.13975903614457832,0.431,0.5831325301204819,0.397,0.23132530120481928,0.7710843373493976,0.514,0.39598393574297186,0.513,0.8586345381526105,0.576,0.183,0.3502008032128514,67.7,0.44738955823293175,1.7060240963855422,-4.31,0.095,0.1614457831325301,1.72,0.431,0.606425702811245,0.331,0.20080321285140562,0.8,0.485,0.38795180722891565,0.48700000000000004,0.8144578313253013,0.527,0.163,0.3140562248995984,0.387,12,195.15,76.75
0,AKRON,0.527,0.3227799227799228,10,2,0.075,0.06254826254826255,0.5907335907335908,0.518,1.4084942084942085,0.435,0.6123552123552124,0.319,0.4494208494208494,0.696,0.3127413127413127,0.222,4,12,18,102.7,0.275,0.2362934362934363,0.511,0.32664092664092664,0.11699999999999999,0.08803088803088803,0.623938223938224,0.532,1.3876447876447877,0.461,0.6393822393822394,0.383,0.532046332046332,0.723,0.38455598455598455,0.277,0.28,0.23011583011583012,0.4277992277992278,1.8617760617760617,0.09,0.155984555984556,0.401,0.555984555984556,0.357,0.19845559845559846,0.8316602316602316,0.53,0.4409266409266409,0.508,0.8540540540540541,0.567,0.162,0.3166023166023166,69.0,0.4918918918918919,1.772972972972973,-6.82,0.085,0.14594594594594595,-1.92,0.467,0.6571428571428571,0.358,0.23552123552123552,0.7513513513513513,0.502,0.37683397683397685,0.49200000000000005,0.827027027027027,0.547,0.17300000000000001,0.33976833976833976,0.438,14,202.23076923076923,76.76923076923077
0,ALABAMA-AM,0.505,0.27309236947791166,18,1,0.039,0.0393574297188755,0.5710843373493976,0.45,1.3630522088353414,0.397,0.5405622489959839,0.314,0.42811244979919677,0.647,0.27710843373493976,0.203,9,2,28,88.2,0.299,0.26907630522088355,0.522,0.36947791164658633,0.138,0.121285140562249,0.6313253012048192,0.54,1.4811244979919678,0.478,0.7076305220883534,0.298,0.44096385542168676,0.687,0.3028112449799197,0.204,0.324,0.27309236947791166,0.42409638554216866,1.9012048192771085,0.11199999999999999,0.19036144578313252,0.323,0.4779116465863454,0.383,0.18313253012048192,1.0032128514056224,0.523,0.5244979919678715,0.518,0.9044176706827309,0.562,0.14400000000000002,0.28353413654618476,68.2,0.40642570281124496,1.504417670682731,-23.97,0.057999999999999996,0.09879518072289156,-8.04,0.354,0.4827309236947791,0.303,0.1461847389558233,0.8803212851405623,0.448,0.39437751004016064,0.48200000000000004,0.8401606425702811,0.48,0.209,0.41285140562248995,0.097,3,190.85714285714286,74.64285714285714
0,ALABAMA-BIRMINGHAM,0.593,0.42105263157894735,6,5,0.11599999999999999,0.09548872180451128,0.6932330827067669,0.545,1.456390977443609,0.488,0.7105263157894737,0.291,0.42406015037593986,0.75,0.3180451127819549,0.218,3,14,13,109.8,0.312,0.2503759398496241,0.532,0.3308270676691729,0.077,0.07518796992481203,0.5518796992481203,0.498,1.4676691729323308,0.424,0.6218045112781955,0.263,0.38571428571428573,0.696,0.26842105263157895,0.183,0.24600000000000002,0.22631578947368422,0.41729323308270677,1.731578947368421,0.1,0.17443609022556392,0.437,0.6413533834586466,0.342,0.21954887218045113,0.8263157894736842,0.487,0.40225563909774437,0.452,0.7781954887218046,0.524,0.159,0.3112781954887218,69.4,0.3684210526315789,1.906766917293233,4.9,0.077,0.13383458646616542,-0.65,0.334,0.4857142857142857,0.345,0.16766917293233083,0.9706766917293234,0.559,0.5428571428571428,0.5479999999999999,0.943609022556391,0.575,0.165,0.32857142857142857,0.606,20,202.16666666666666,76.66666666666667
0,ALABAMA-STATE,0.41700000000000004,0.25140562248995985,13,4,0.11199999999999999,0.10441767068273092,0.5919678714859438,0.465,1.4771084337349398,0.408,0.6032128514056225,0.352,0.5196787148594377,0.646,0.3357429718875502,0.227,8,4,23,97.0,0.319,0.3164658634538153,0.514,0.3357429718875502,0.099,0.09558232931726908,0.6746987951807228,0.519,1.4417670682730923,0.453,0.653012048192771,0.466,0.6714859437751004,0.685,0.4602409638554217,0.319,0.34700000000000003,0.314859437751004,0.4738955823293173,1.957429718875502,0.094,0.16626506024096385,0.352,0.5068273092369477,0.377,0.19116465863453816,0.9349397590361446,0.494,0.46184738955823296,0.521,0.989558232931727,0.556,0.155,0.3220883534136546,70.5,0.5204819277108433,1.7100401606425704,-18.56,0.077,0.1357429718875502,-8.62,0.347,0.5124497991967871,0.328,0.1678714859437751,0.9646586345381526,0.451,0.4353413654618474,0.479,0.908433734939759,0.496,0.16899999999999998,0.351004016064257,0.258,8,197.33333333333334,76.53333333333333
0,ALABAMA,0.503,0.31805555555555554,8,2,0.147,0.13333333333333333,0.6458333333333334,0.519,1.3715277777777777,0.461,0.6319444444444444,0.419,0.575,0.67,0.3854166666666667,0.281,4,12,16,103.0,0.294,0.25,0.48700000000000004,0.2965277777777778,0.105,0.09305555555555556,0.5993055555555555,0.478,1.4645833333333333,0.416,0.6090277777777777,0.365,0.5340277777777778,0.685,0.3659722222222222,0.25,0.308,0.2875,0.4986111111111111,1.7659722222222223,0.094,0.16458333333333333,0.379,0.5548611111111111,0.328,0.18194444444444444,0.9097222222222222,0.469,0.4270833333333333,0.49700000000000005,0.8868055555555555,0.514,0.16,0.3284722222222222,70.2,0.46944444444444444,1.8083333333333333,12.34,0.09,0.15833333333333333,10.64,0.355,0.4875,0.326,0.15902777777777777,0.8840277777777777,0.535,0.47291666666666665,0.503,0.8958333333333334,0.55,0.17800000000000002,0.35625,0.556,20,211.21428571428572,78.35714285714286
0,ALBANY-NY,0.483,0.31640625,7,8,0.079,0.07109375,0.6359375,0.507,1.434375,0.457,0.65546875,0.37,0.53125,0.754,0.40078125,0.279,3,14,10,110.3,0.349,0.29453125,0.537,0.33828125,0.10099999999999999,0.10546875,0.55,0.506,1.4125,0.446,0.63046875,0.278,0.39296875,0.702,0.27578125,0.195,0.243,0.20390625,0.4953125,1.7046875,0.08199999999999999,0.1375,0.362,0.5109375,0.329,0.16796875,0.9015625,0.513,0.4625,0.44799999999999995,0.75390625,0.533,0.152,0.2875,67.3,0.4125,1.85546875,0.02,0.07,0.1171875,-5.4,0.273,0.3921875,0.367,0.14375,1.0421875,0.491,0.51171875,0.552,0.93046875,0.55,0.147,0.28984375,0.688,22,204.1818181818182,76.18181818181819
0,ALCORN-STATE,0.53,0.32607003891050584,16,2,0.077,0.06614785992217899,0.6217898832684825,0.499,1.419455252918288,0.434,0.6155642023346304,0.328,0.4653696498054475,0.707,0.3291828793774319,0.232,5,9,21,99.2,0.272,0.23735408560311283,0.5760000000000001,0.36264591439688715,0.08800000000000001,0.07704280155642024,0.6350194552529183,0.505,1.4529182879377431,0.433,0.6295719844357976,0.384,0.5571984435797666,0.704,0.3922178988326848,0.27,0.312,0.28249027237354085,0.43346303501945527,1.8583657587548639,0.08900000000000001,0.15642023346303502,0.41,0.5961089494163424,0.347,0.20700389105058364,0.8568093385214007,0.493,0.422568093385214,0.516,0.9175097276264591,0.541,0.16,0.32607003891050584,70.4,0.47704280155642026,1.7463035019455253,-18.07,0.08800000000000001,0.1556420233463035,-8.6,0.382,0.5424124513618677,0.343,0.1859922178988327,0.8770428015564202,0.49,0.42957198443579764,0.484,0.8591439688715953,0.532,0.179,0.35719844357976654,0.344,11,198.92857142857142,76.21428571428571
0,AMERICAN,0.526,0.30456431535269707,16,2,0.091,0.08132780082987552,0.5203319502074689,0.506,1.3402489626556016,0.432,0.5792531120331951,0.304,0.4074688796680498,0.664,0.2705394190871369,0.202,8,4,24,96.7,0.237,0.2008298755186722,0.531,0.34190871369294606,0.11900000000000001,0.08962655601659751,0.6448132780082988,0.549,1.3236514522821576,0.487,0.6439834024896266,0.408,0.5394190871369294,0.714,0.38506224066390043,0.291,0.31,0.23402489626556017,0.4141078838174274,1.838174273858921,0.10300000000000001,0.17261410788381742,0.325,0.4307053941908714,0.383,0.16514522821576763,0.8929460580912864,0.536,0.47883817427385894,0.5489999999999999,0.8788381742738589,0.582,0.17800000000000002,0.34273858921161826,67.3,0.45643153526970953,1.6273858921161826,-14.63,0.107,0.18008298755186722,-6.16,0.439,0.5883817427385892,0.337,0.1983402489626556,0.7518672199170124,0.507,0.3809128630705394,0.451,0.7211618257261411,0.531,0.183,0.34273858921161826,0.2,6,195.3846153846154,76.92307692307692
