,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,home_losses,home_wins,losses,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins,AdjTempo,AdjOE,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,AdjDE,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,AvgHgt,EffHgt,C-Hgt,PF-Hgt,SF-Hgt,SG-Hgt,PG-Hgt,Experience,Bench,Continuity,abbreviation
0,0.541,0.33384615384615385,9,3,0.057999999999999996,0.04384615384615385,0.6338461538461538,0.517,1.366153846153846,0.452,0.6169230769230769,0.283,0.3869230769230769,0.678,0.2623076923076923,0.192,6,9,18,99.5,0.237,0.1946153846153846,0.54,0.34076923076923077,0.08199999999999999,0.06692307692307692,0.6269230769230769,0.533,1.4,0.451,0.6315384615384615,0.286,0.4,0.679,0.27153846153846156,0.194,0.23800000000000002,0.19846153846153847,0.4230769230769231,1.7646153846153847,0.105,0.1776923076923077,0.462,0.6469230769230769,0.356,0.23,0.7530769230769231,0.533,0.4015384615384615,0.499,0.8253846153846154,0.555,0.157,0.2969230769230769,67.4,0.4176923076923077,1.676153846153846,-4.28,0.07,0.11846153846153847,0.24,0.4,0.546923076923077,0.329,0.18,0.8192307692307692,0.533,0.4369230769230769,0.501,0.8284615384615385,0.541,0.174,0.3253846153846154,0.438,14,66.6,100.6,51.3,19.3,23.2,28.3,107.7,53.5,17.8,24.1,28.6,77.2,-0.9,-2.0,0.2,0.3,1.1,2.1,1.06,33.4,50.9,AIR-FORCE
0,0.501,0.3011320754716981,10,1,0.08900000000000001,0.08,0.6732075471698113,0.485,1.470188679245283,0.409,0.6015094339622642,0.277,0.40679245283018867,0.705,0.28679245283018867,0.195,3,14,16,100.1,0.253,0.23547169811320753,0.451,0.2588679245283019,0.087,0.06716981132075471,0.6958490566037736,0.452,1.4483018867924529,0.396,0.5735849056603773,0.297,0.4294339622641509,0.654,0.2807547169811321,0.194,0.293,0.2792452830188679,0.4362264150943396,1.590188679245283,0.08199999999999999,0.14113207547169812,0.382,0.5539622641509434,0.293,0.16226415094339622,0.8943396226415095,0.46,0.41132075471698115,0.518,0.9750943396226415,0.481,0.166,0.3290566037735849,68.5,0.4294339622641509,1.7139622641509433,4.86,0.08199999999999999,0.13962264150943396,1.09,0.477,0.7011320754716981,0.32,0.2241509433962264,0.7690566037735849,0.491,0.37735849056603776,0.48200000000000004,0.9086792452830189,0.515,0.15,0.29283018867924526,0.515,17,66.2,100.0,48.2,17.3,25.1,27.7,94.1,45.5,19.1,29.9,30.6,76.3,-0.3,0.3,-1.0,0.2,1.3,-3.4,1.49,24.7,41.7,AKRON
0,0.44299999999999995,0.2843971631205674,6,6,0.075,0.05815602836879433,0.6468085106382979,0.511,1.420567375886525,0.452,0.6425531914893617,0.315,0.44680851063829785,0.673,0.300709219858156,0.212,5,11,15,105.2,0.304,0.2602836879432624,0.547,0.3148936170212766,0.084,0.07801418439716312,0.5950354609929078,0.49,1.3900709219858156,0.414,0.575177304964539,0.314,0.4368794326241135,0.732,0.3198581560283688,0.23,0.254,0.2198581560283688,0.39858156028368796,1.6808510638297873,0.076,0.12624113475177304,0.445,0.6191489361702127,0.34,0.21063829787234042,0.7709219858156028,0.473,0.3645390070921986,0.473,0.8148936170212766,0.526,0.157,0.29858156028368793,66.6,0.4099290780141844,1.75177304964539,0.36,0.09300000000000001,0.15460992907801419,-1.52,0.346,0.4921985815602837,0.337,0.16595744680851063,0.9283687943262411,0.513,0.4765957446808511,0.527,0.9070921985815603,0.536,0.14800000000000002,0.28297872340425534,0.571,20,65.2,107.1,50.4,16.8,30.6,31.8,105.4,49.4,17.9,26.2,31.6,76.8,0.3,0.7,-0.1,-0.8,-0.4,0.8,1.33,26.7,41.5,ALABAMA-BIRMINGHAM
0,0.44,0.2504,13,3,0.09300000000000001,0.0816,0.5832,0.465,1.4112,0.404,0.5696,0.388,0.5472,0.652,0.3568,0.253,3,8,19,95.9,0.309,0.292,0.541,0.3408,0.094,0.0824,0.6528,0.518,1.3856,0.455,0.6304,0.361,0.5,0.707,0.3536,0.255,0.308,0.2592,0.4968,1.788,0.10300000000000001,0.1792,0.368,0.5104,0.34,0.1736,0.8752,0.522,0.4568,0.51,0.912,0.551,0.188,0.376,69.6,0.452,1.6688,-15.6,0.09300000000000001,0.1624,-7.84,0.382,0.5384,0.321,0.1728,0.8728,0.455,0.3968,0.49,0.8752,0.499,0.17800000000000002,0.3608,0.387,12,67.2,95.2,46.1,20.9,31.6,37.4,110.9,53.0,21.2,32.3,36.9,75.4,-1.3,-1.0,-1.5,-1.0,-0.9,-2.8,1.17,35.6,62.8,ALABAMA-STATE
0,0.488,0.30622710622710625,8,4,0.11599999999999999,0.11721611721611722,0.6600732600732601,0.503,1.424908424908425,0.44,0.6271062271062271,0.38,0.5413919413919414,0.666,0.36043956043956044,0.253,6,10,16,102.8,0.315,0.2813186813186813,0.431,0.2813186813186813,0.11699999999999999,0.1054945054945055,0.6117216117216118,0.489,1.4996336996336996,0.435,0.652014652014652,0.296,0.4432234432234432,0.711,0.315018315018315,0.21,0.28,0.2564102564102564,0.4717948717948718,1.7824175824175825,0.09300000000000001,0.1619047619047619,0.327,0.4908424908424908,0.333,0.16336996336996337,1.0087912087912088,0.484,0.48864468864468863,0.48,0.8681318681318682,0.521,0.147,0.2945054945054945,69.8,0.41904761904761906,1.7934065934065935,9.45,0.066,0.11501831501831501,9.01,0.369,0.526007326007326,0.34,0.17875457875457876,0.8989010989010989,0.499,0.44835164835164837,0.52,0.9413919413919414,0.533,0.168,0.34065934065934067,0.529,18,68.7,108.2,50.3,19.5,31.5,38.0,97.5,48.9,16.9,28.0,29.6,77.9,0.3,-0.0,0.7,1.1,2.0,1.5,1.81,34.3,65.8,ALABAMA
0,0.551,0.3140562248995984,17,0,0.098,0.0859437751004016,0.5983935742971888,0.473,1.3823293172690763,0.412,0.5694779116465863,0.316,0.43614457831325304,0.674,0.29397590361445786,0.213,3,10,21,93.2,0.301,0.26827309236947794,0.625,0.3927710843373494,0.077,0.06666666666666667,0.623293172690763,0.507,1.4008032128514056,0.448,0.6281124497991968,0.355,0.4971887550200803,0.687,0.3413654618473896,0.244,0.29100000000000004,0.2457831325301205,0.39919678714859436,1.7622489959839358,0.114,0.19678714859437751,0.377,0.5277108433734939,0.312,0.1646586345381526,0.8730923694779117,0.531,0.4634538152610442,0.501,0.8690763052208835,0.538,0.16899999999999998,0.3325301204819277,68.8,0.44016064257028115,1.6024096385542168,-22.08,0.107,0.18393574297188756,-8.97,0.375,0.5188755020080321,0.327,0.16947791164658635,0.8634538152610441,0.463,0.4,0.499,0.8666666666666667,0.504,0.19899999999999998,0.39518072289156625,0.323,10,65.8,89.3,45.7,24.1,30.1,30.5,113.4,52.7,18.2,31.5,36.5,76.8,-0.5,0.4,-1.4,-0.8,1.1,0.6,1.31,34.5,38.4,ALCORN-STATE
0,0.515,0.3295081967213115,8,6,0.11,0.10737704918032787,0.6254098360655738,0.532,1.348360655737705,0.474,0.639344262295082,0.358,0.48278688524590163,0.698,0.3368852459016393,0.25,7,8,15,104.6,0.261,0.20573770491803278,0.502,0.3073770491803279,0.092,0.08032786885245902,0.5836065573770491,0.482,1.4008196721311474,0.437,0.6122950819672132,0.348,0.48770491803278687,0.713,0.3475409836065574,0.248,0.273,0.23524590163934425,0.4311475409836066,1.6967213114754098,0.092,0.15655737704918032,0.304,0.4262295081967213,0.292,0.12459016393442623,0.9745901639344262,0.5,0.48770491803278687,0.496,0.8188524590163935,0.52,0.155,0.3,67.7,0.4262295081967213,1.771311475409836,-4.19,0.107,0.18114754098360655,-7.23,0.355,0.4786885245901639,0.325,0.1557377049180328,0.8696721311475409,0.556,0.48360655737704916,0.504,0.8311475409836065,0.561,0.16699999999999998,0.3163934426229508,0.5,15,66.6,102.1,53.2,18.7,26.1,35.8,105.2,48.2,17.7,27.4,34.8,77.3,-0.4,0.1,-0.8,1.0,0.7,1.4,1.73,26.4,62.7,AMERICAN
0,0.461,0.3147286821705426,12,2,0.069,0.06976744186046512,0.6333333333333333,0.529,1.5023255813953489,0.454,0.6821705426356589,0.364,0.5472868217054263,0.715,0.39147286821705424,0.261,5,9,21,107.6,0.265,0.24031007751937986,0.456,0.324031007751938,0.08900000000000001,0.07751937984496124,0.6674418604651163,0.529,1.5193798449612403,0.467,0.710077519379845,0.336,0.5108527131782946,0.706,0.36046511627906974,0.237,0.287,0.25503875968992246,0.4930232558139535,1.968217054263566,0.095,0.1744186046511628,0.336,0.5108527131782946,0.367,0.1875968992248062,1.0085271317829458,0.518,0.5224806201550387,0.514,0.9224806201550387,0.559,0.158,0.33178294573643413,73.7,0.45348837209302323,1.9821705426356588,-3.73,0.07200000000000001,0.1325581395348837,0.1,0.42,0.6310077519379845,0.359,0.22635658914728682,0.8713178294573644,0.523,0.4558139534883721,0.486,0.8736434108527131,0.562,0.155,0.324031007751938,0.344,11,71.6,106.2,51.4,17.8,25.8,37.0,109.7,53.8,17.4,29.7,34.1,77.0,0.7,-0.0,1.4,-0.1,-0.2,-0.2,2.03,34.8,71.6,APPALACHIAN-STATE
0,0.511,0.33260869565217394,5,6,0.096,0.07898550724637682,0.6898550724637681,0.506,1.4579710144927536,0.447,0.6514492753623189,0.438,0.6391304347826087,0.68,0.43478260869565216,0.298,3,13,11,105.4,0.313,0.2891304347826087,0.542,0.3253623188405797,0.087,0.08188405797101449,0.6340579710144928,0.485,1.4543478260869565,0.413,0.6,0.386,0.5608695652173913,0.705,0.39565217391304347,0.272,0.265,0.24855072463768116,0.532608695652174,1.8072463768115943,0.08800000000000001,0.16014492753623188,0.435,0.6333333333333333,0.334,0.21159420289855072,0.8210144927536231,0.473,0.3884057971014493,0.474,0.8826086956521739,0.525,0.16699999999999998,0.34492753623188405,72.5,0.4891304347826087,1.9115942028985506,10.28,0.085,0.15434782608695652,6.04,0.355,0.5173913043478261,0.336,0.17391304347826086,0.9405797101449276,0.508,0.47753623188405797,0.526,0.9789855072463768,0.543,0.161,0.33768115942028987,0.676,23,70.8,109.7,50.6,18.7,31.7,43.8,98.2,48.5,19.0,26.9,38.6,77.6,0.4,-0.4,1.2,1.8,1.1,0.3,1.37,26.5,34.3,ARIZONA-STATE
0,0.501,0.3085271317829457,7,4,0.066,0.056589147286821705,0.6131782945736434,0.49,1.4426356589147287,0.427,0.6155038759689923,0.333,0.4806201550387597,0.719,0.3457364341085271,0.24,5,12,15,102.6,0.284,0.25116279069767444,0.478,0.29147286821705426,0.106,0.09534883720930233,0.6333333333333333,0.509,1.3612403100775194,0.448,0.610077519379845,0.35,0.47674418604651164,0.68,0.324031007751938,0.238,0.259,0.21472868217054264,0.4813953488372093,1.7093023255813953,0.078,0.13410852713178295,0.369,0.5023255813953489,0.329,0.16511627906976745,0.8589147286821706,0.518,0.4449612403100775,0.495,0.8480620155038759,0.538,0.18,0.3488372093023256,68.6,0.4604651162790698,1.7589147286821705,8.32,0.075,0.12790697674418605,6.32,0.376,0.541860465116279,0.336,0.1821705426356589,0.9007751937984496,0.481,0.43333333333333335,0.505,0.8643410852713178,0.526,0.147,0.2868217054263566,0.531,17,66.7,105.5,49.0,16.7,28.4,33.3,98.2,50.9,20.3,25.9,35.0,76.9,0.5,0.6,0.5,0.8,0.4,-1.6,1.54,34.1,23.5,ARIZONA
