,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,home_losses,home_wins,losses,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins,AdjTempo,AdjOE,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,AdjDE,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,AvgHgt,EffHgt,C-Hgt,PF-Hgt,SF-Hgt,SG-Hgt,PG-Hgt,Experience,Bench,Continuity
0,ABILENE-CHRISTIAN,0.555,0.3726618705035971,4,3,0.057,0.04028776978417266,0.5553956834532374,0.503,1.5035971223021583,0.447,0.6719424460431654,0.352,0.5294964028776978,0.736,0.3899280575539568,0.259,2,8,6,104.7,0.271,0.24028776978417266,0.518,0.26762589928057556,0.087,0.08489208633093526,0.6474820143884892,0.496,1.2143884892086332,0.425,0.516546762589928,0.44,0.5338129496402878,0.693,0.3697841726618705,0.305,0.263,0.1985611510791367,0.5122302158273381,1.5741007194244605,0.078,0.1410071942446043,0.419,0.5093525179856115,0.336,0.1712230215827338,0.7050359712230215,0.49,0.34532374100719426,0.515,0.8460431654676259,0.536,0.27,0.5424460431654676,72.7,0.5323741007194245,1.9035971223021584,2.59,0.153,0.2776978417266187,-0.41,0.353,0.5309352517985612,0.32,0.1697841726618705,0.9726618705035971,0.516,0.5021582733812949,0.485,0.7956834532374101,0.542,0.15,0.3107913669064748,0.647,11,0.7090000000000001,1.005,0.47700000000000004,0.182,0.254,0.36700000000000005,0.99,0.524,0.28300000000000003,0.312,0.44299999999999995,0.7440000000000001,-0.016,-0.011000000000000001,-0.021,-0.026000000000000002,-0.031,-0.037000000000000005,0.024,0.331,0.6609999999999999
0,AIR-FORCE,0.608,0.33214285714285713,4,1,0.1,0.08571428571428572,0.5696428571428571,0.535,1.2160714285714285,0.449,0.5464285714285714,0.233,0.2839285714285714,0.667,0.18928571428571428,0.156,1,5,6,93.7,0.177,0.125,0.46,0.24642857142857144,0.094,0.060714285714285714,0.5821428571428572,0.465,1.2839285714285715,0.417,0.5357142857142857,0.349,0.44821428571428573,0.737,0.33035714285714285,0.257,0.294,0.2375,0.40535714285714286,1.5232142857142856,0.094,0.15,0.332,0.42678571428571427,0.285,0.12142857142857143,0.8571428571428571,0.483,0.4142857142857143,0.541,0.8196428571428571,0.509,0.17800000000000002,0.325,63.6,0.4303571428571429,1.4892857142857143,-5.76,0.09699999999999999,0.15357142857142858,-4.4,0.471,0.5732142857142857,0.361,0.20714285714285716,0.6428571428571429,0.528,0.3392857142857143,0.45899999999999996,0.6946428571428571,0.551,0.215,0.36964285714285716,0.571,8,0.636,0.9540000000000001,0.535,0.23399999999999999,0.188,0.233,1.032,0.465,0.205,0.302,0.349,0.77,-0.011000000000000001,-0.004,-0.018000000000000002,-0.002,0.009000000000000001,0.016,0.0106,0.282,0.358
0,AKRON,0.49,0.3053571428571429,2,1,0.081,0.07321428571428572,0.6589285714285714,0.525,1.3767857142857143,0.453,0.6232142857142857,0.415,0.5714285714285714,0.656,0.375,0.272,1,7,5,109.0,0.324,0.275,0.38299999999999995,0.22142857142857142,0.061,0.048214285714285716,0.575,0.477,1.3803571428571428,0.419,0.5785714285714286,0.274,0.37857142857142856,0.67,0.25357142857142856,0.184,0.23800000000000002,0.20535714285714285,0.5107142857142857,1.5696428571428571,0.085,0.14285714285714285,0.343,0.4732142857142857,0.336,0.15892857142857142,0.9071428571428571,0.463,0.41964285714285715,0.455,0.7803571428571429,0.503,0.168,0.3142857142857143,66.8,0.4160714285714286,1.8214285714285714,-0.33,0.08900000000000001,0.14821428571428572,-2.33,0.429,0.5910714285714286,0.338,0.2,0.7857142857142857,0.539,0.4232142857142857,0.545,0.9339285714285714,0.553,0.154,0.3,0.643,9,0.653,1.047,0.502,0.183,0.292,0.429,1.034,0.499,0.16899999999999998,0.257,0.284,0.765,0.003,0.003,0.002,-0.011000000000000001,-0.018000000000000002,-0.0,0.0123,0.302,0.563
0,ALABAMA-AM,0.433,0.23833333333333334,10,2,0.083,0.06666666666666667,0.6266666666666667,0.41,1.465,0.375,0.55,0.271,0.39666666666666667,0.689,0.2733333333333333,0.187,1,2,11,85.7,0.265,0.25833333333333336,0.627,0.37833333333333335,0.073,0.08,0.7166666666666667,0.488,1.4616666666666667,0.413,0.6033333333333334,0.275,0.40166666666666667,0.701,0.2816666666666667,0.193,0.32,0.295,0.3883333333333333,1.7083333333333333,0.102,0.175,0.449,0.6566666666666666,0.335,0.22,0.805,0.476,0.38333333333333336,0.5329999999999999,1.0116666666666667,0.517,0.177,0.355,68.7,0.39666666666666667,1.4733333333333334,-14.43,0.107,0.18333333333333332,-5.03,0.247,0.3616666666666667,0.276,0.1,1.1033333333333333,0.408,0.45,0.467,0.885,0.446,0.166,0.3283333333333333,0.267,4,0.6679999999999999,0.8959999999999999,0.41,0.193,0.27699999999999997,0.271,1.042,0.488,0.20800000000000002,0.33399999999999996,0.275,0.765,-0.001,-0.001,-0.001,0.001,-0.016,-0.006999999999999999,0.0163,0.249,0.74
0,ALABAMA-BIRMINGHAM,0.434,0.33289473684210524,2,2,0.12300000000000001,0.11052631578947368,0.6697368421052632,0.526,1.6421052631578947,0.467,0.7671052631578947,0.26,0.4263157894736842,0.701,0.2986842105263158,0.182,1,12,4,111.9,0.322,0.3105263157894737,0.47700000000000004,0.2631578947368421,0.08800000000000001,0.09868421052631579,0.6526315789473685,0.452,1.4013157894736843,0.393,0.5513157894736842,0.288,0.4039473684210526,0.717,0.2894736842105263,0.207,0.253,0.22631578947368422,0.3868421052631579,1.556578947368421,0.069,0.125,0.361,0.5052631578947369,0.326,0.16447368421052633,0.8960526315789473,0.432,0.3868421052631579,0.473,0.8789473684210526,0.489,0.22,0.45,72.4,0.40657894736842104,2.026315789473684,12.88,0.147,0.2657894736842105,-1.59,0.319,0.5236842105263158,0.369,0.19342105263157894,1.118421052631579,0.513,0.5736842105263158,0.527,0.9802631578947368,0.549,0.128,0.2710526315789474,0.789,15,0.701,1.1159999999999999,0.522,0.156,0.342,0.273,0.976,0.46,0.235,0.292,0.306,0.767,0.005,0.011000000000000001,-0.001,-0.009000000000000001,-0.001,-0.01,0.0226,0.33399999999999996,0.479
0,ALABAMA-STATE,0.467,0.2772413793103448,10,1,0.10300000000000001,0.09241379310344827,0.6151724137931035,0.474,1.4013793103448275,0.423,0.593103448275862,0.356,0.4993103448275862,0.685,0.34206896551724136,0.244,3,4,13,92.7,0.294,0.25655172413793104,0.555,0.3627586206896552,0.113,0.10758620689655173,0.616551724137931,0.498,1.5144827586206897,0.432,0.6537931034482759,0.332,0.5020689655172413,0.734,0.3682758620689655,0.243,0.32899999999999996,0.3020689655172414,0.4262068965517241,1.8758620689655172,0.115,0.20689655172413793,0.406,0.6151724137931035,0.325,0.2,0.8993103448275862,0.505,0.45379310344827584,0.513,0.9186206896551724,0.535,0.168,0.35310344827586204,72.1,0.463448275862069,1.6717241379310346,-10.54,0.105,0.1889655172413793,-0.3,0.321,0.4496551724137931,0.319,0.14344827586206896,0.9517241379310345,0.472,0.4496551724137931,0.48700000000000004,0.8717241379310345,0.51,0.204,0.4206896551724138,0.278,5,0.71,0.938,0.467,0.239,0.297,0.33799999999999997,1.084,0.499,0.192,0.33899999999999997,0.32899999999999996,0.768,-0.004,-0.012,0.003,0.008,-0.005,-0.003,0.0104,0.366,0.414
0,ALABAMA,0.503,0.36617647058823527,3,1,0.129,0.125,0.6779411764705883,0.528,1.6014705882352942,0.455,0.7279411764705882,0.309,0.49411764705882355,0.717,0.35441176470588237,0.221,1,7,6,111.0,0.34,0.3205882352941177,0.44799999999999995,0.3,0.109,0.09411764705882353,0.6220588235294118,0.485,1.5588235294117647,0.429,0.6691176470588235,0.338,0.5264705882352941,0.673,0.35441176470588237,0.227,0.305,0.29705882352941176,0.4588235294117647,1.8661764705882353,0.09699999999999999,0.17794117647058824,0.378,0.5897058823529412,0.294,0.17352941176470588,0.9691176470588235,0.511,0.49558823529411766,0.479,0.9191176470588235,0.516,0.151,0.3220588235294118,73.6,0.4602941176470588,2.0441176470588234,18.11,0.095,0.175,10.99,0.459,0.7352941176470589,0.318,0.2338235294117647,0.8661764705882353,0.57,0.49411764705882355,0.521,0.9985294117647059,0.557,0.153,0.3323529411764706,0.647,11,0.725,1.1740000000000002,0.528,0.18100000000000002,0.344,0.31,0.9670000000000001,0.485,0.175,0.309,0.33799999999999997,0.7709999999999999,-0.001,0.006999999999999999,-0.008,0.001,-0.001,0.006999999999999999,0.016399999999999998,0.273,0.419
0,ALCORN-STATE,0.434,0.246875,11,4,0.069,0.0578125,0.5625,0.451,1.4203125,0.4,0.56875,0.262,0.371875,0.727,0.2703125,0.19,0,1,11,91.4,0.297,0.265625,0.615,0.39375,0.09699999999999999,0.096875,0.628125,0.528,1.3765625,0.465,0.640625,0.367,0.5046875,0.728,0.3671875,0.267,0.294,0.234375,0.3921875,1.8203125,0.10400000000000001,0.1765625,0.393,0.540625,0.318,0.171875,0.8359375,0.561,0.46875,0.51,0.8625,0.563,0.163,0.3140625,67.9,0.4375,1.5515625,-6.6,0.111,0.1890625,4.15,0.296,0.4203125,0.342,0.14375,1.0,0.425,0.425,0.49,0.828125,0.486,0.188,0.36875,0.313,5,0.682,0.986,0.45,0.21899999999999997,0.297,0.261,1.06,0.528,0.185,0.295,0.36700000000000005,0.758,-0.005,-0.012,0.002,-0.008,-0.027000000000000003,-0.013999999999999999,0.0169,0.435,0.243
0,AMERICAN,0.499,0.3105263157894737,7,2,0.084,0.08070175438596491,0.5982456140350877,0.485,1.4210526315789473,0.438,0.6228070175438597,0.215,0.30526315789473685,0.667,0.20350877192982456,0.143,2,2,10,91.3,0.191,0.1649122807017544,0.49,0.3508771929824561,0.087,0.08771929824561403,0.6964912280701754,0.556,1.4508771929824562,0.493,0.7157894736842105,0.284,0.41228070175438597,0.685,0.2824561403508772,0.195,0.239,0.18771929824561404,0.3280701754385965,1.894736842105263,0.099,0.17192982456140352,0.34,0.49298245614035086,0.367,0.18070175438596492,0.9578947368421052,0.559,0.5350877192982456,0.537,0.8842105263157894,0.575,0.14300000000000002,0.2754385964912281,69.2,0.3824561403508772,1.580701754385965,-18.52,0.087,0.15087719298245614,-5.74,0.291,0.41403508771929826,0.318,0.13157894736842105,1.0070175438596491,0.488,0.49122807017543857,0.46299999999999997,0.7631578947368421,0.505,0.172,0.3263157894736842,0.286,4,0.67,0.9570000000000001,0.485,0.19399999999999998,0.231,0.215,1.129,0.556,0.163,0.29100000000000004,0.284,0.77,0.002,-0.002,0.006,0.006999999999999999,0.004,-0.011000000000000001,0.0171,0.361,0.562
0,APPALACHIAN-STATE,0.502,0.3111111111111111,5,2,0.076,0.06274509803921569,0.6392156862745098,0.481,1.49281045751634,0.415,0.6196078431372549,0.256,0.38169934640522873,0.644,0.2457516339869281,0.165,2,7,9,102.0,0.289,0.26666666666666666,0.5579999999999999,0.3333333333333333,0.098,0.08366013071895424,0.6562091503267974,0.489,1.4,0.427,0.5973856209150327,0.204,0.28627450980392155,0.735,0.21045751633986928,0.15,0.22699999999999998,0.18823529411764706,0.3764705882352941,1.5790849673202614,0.071,0.11764705882352941,0.414,0.5790849673202615,0.3,0.1738562091503268,0.8209150326797385,0.516,0.4235294117647059,0.48200000000000004,0.8444444444444444,0.514,0.162,0.29673202614379085,66.0,0.31895424836601305,1.681045751633987,-1.73,0.084,0.13856209150326798,1.84,0.429,0.6405228758169934,0.306,0.19607843137254902,0.8522875816993464,0.497,0.4235294117647059,0.518,0.9058823529411765,0.502,0.128,0.2457516339869281,0.526,10,0.64,1.0190000000000001,0.466,0.156,0.285,0.257,1.037,0.531,0.174,0.253,0.213,0.764,-0.002,0.002,-0.006,-0.013000000000000001,-0.006,-0.004,0.023799999999999998,0.252,0.828
0,ARIZONA-STATE,0.5,0.2884955752212389,2,2,0.131,0.10973451327433628,0.6495575221238938,0.437,1.497345132743363,0.385,0.5769911504424778,0.234,0.3504424778761062,0.697,0.24424778761061947,0.163,4,3,9,91.1,0.257,0.2513274336283186,0.5670000000000001,0.3380530973451327,0.092,0.08672566371681416,0.7256637168141593,0.485,1.4442477876106194,0.413,0.5964601769911504,0.29,0.4194690265486726,0.671,0.2814159292035398,0.195,0.289,0.26371681415929205,0.39646017699115044,1.6814159292035398,0.078,0.13274336283185842,0.42,0.6070796460176991,0.341,0.20707964601769913,0.8371681415929203,0.465,0.3893805309734513,0.523,0.9893805309734514,0.512,0.163,0.32035398230088497,68.2,0.44601769911504424,1.552212389380531,2.71,0.094,0.16106194690265488,7.93,0.369,0.552212389380531,0.279,0.15398230088495576,0.9451327433628318,0.448,0.4230088495575221,0.47700000000000004,0.9008849557522124,0.466,0.152,0.2973451327433628,0.357,5,0.6890000000000001,1.013,0.43700000000000006,0.174,0.257,0.23399999999999999,0.973,0.485,0.188,0.289,0.29,0.768,0.001,0.002,0.001,-0.005,-0.01,0.003,0.0171,0.34600000000000003,0.221
0,ARIZONA,0.674,0.5421487603305785,1,2,0.162,0.16363636363636364,0.7768595041322314,0.563,1.6132231404958677,0.499,0.8049586776859504,0.325,0.5239669421487604,0.719,0.3768595041322314,0.234,0,10,1,115.7,0.34700000000000003,0.2975206611570248,0.469,0.2727272727272727,0.055,0.05619834710743802,0.5586776859504132,0.424,1.5818181818181818,0.368,0.5818181818181818,0.248,0.39173553719008264,0.654,0.256198347107438,0.162,0.253,0.2628099173553719,0.4512396694214876,1.596694214876033,0.092,0.17355371900826447,0.362,0.571900826446281,0.309,0.1768595041322314,1.0099173553719007,0.401,0.4049586776859504,0.433,0.8214876033057851,0.452,0.17600000000000002,0.3785123966942149,75.8,0.43140495867768597,2.193388429752066,27.73,0.10400000000000001,0.19669421487603306,3.67,0.369,0.5950413223140496,0.347,0.2066115702479339,1.018181818181818,0.588,0.5983471074380166,0.5670000000000001,1.0743801652892562,0.589,0.155,0.3421487603305785,0.933,14,0.748,1.1640000000000001,0.563,0.182,0.366,0.325,0.9009999999999999,0.424,0.201,0.27,0.248,0.794,0.031,0.034,0.027000000000000003,0.015,0.019,0.026000000000000002,0.0058,0.302,0.48100000000000004
0,ARKANSAS-PINE-BLUFF,0.48200000000000004,0.2593103448275862,12,0,0.055999999999999994,0.05241379310344828,0.526896551724138,0.454,1.3820689655172413,0.389,0.5379310344827586,0.322,0.44551724137931037,0.715,0.31862068965517243,0.231,3,3,15,90.3,0.205,0.18758620689655173,0.55,0.3986206896551724,0.11599999999999999,0.08827586206896551,0.7255172413793104,0.566,1.4441379310344828,0.501,0.7241379310344828,0.306,0.4413793103448276,0.725,0.32,0.222,0.314,0.2413793103448276,0.40413793103448276,1.9558620689655173,0.102,0.17793103448275863,0.351,0.5062068965517241,0.371,0.18758620689655173,0.9379310344827586,0.572,0.5365517241379311,0.575,0.9668965517241379,0.591,0.168,0.33379310344827584,69.7,0.4068965517241379,1.5724137931034483,-19.01,0.098,0.17103448275862068,1.24,0.45,0.6220689655172413,0.286,0.17793103448275863,0.76,0.474,0.36,0.425,0.7144827586206897,0.493,0.172,0.3310344827586207,0.167,3,0.677,0.9209999999999999,0.444,0.20600000000000002,0.23,0.302,1.183,0.573,0.187,0.369,0.325,0.765,-0.011000000000000001,-0.008,-0.013000000000000001,-0.006999999999999999,0.001,0.005,0.0203,0.39399999999999996,0.19
0,ARKANSAS-STATE,0.612,0.41487603305785126,3,4,0.106,0.10578512396694215,0.656198347107438,0.515,1.4462809917355373,0.469,0.6776859504132231,0.35,0.5057851239669422,0.758,0.3834710743801653,0.265,1,7,4,105.2,0.316,0.26611570247933886,0.505,0.32231404958677684,0.073,0.07603305785123966,0.5752066115702479,0.477,1.4892561983471075,0.428,0.6380165289256199,0.305,0.45454545454545453,0.658,0.2991735537190083,0.201,0.295,0.2743801652892562,0.4479338842975207,1.7206611570247934,0.10099999999999999,0.18016528925619835,0.327,0.48760330578512395,0.298,0.14545454545454545,1.0016528925619834,0.492,0.4925619834710744,0.479,0.8495867768595041,0.505,0.174,0.3586776859504132,71.2,0.44297520661157025,1.8727272727272728,-4.12,0.11,0.19669421487603306,-5.53,0.279,0.4033057851239669,0.332,0.13388429752066117,1.0429752066115703,0.521,0.543801652892562,0.521,0.9223140495867769,0.555,0.17300000000000001,0.35206611570247937,0.733,11,0.695,1.041,0.509,0.213,0.318,0.384,1.056,0.494,0.193,0.318,0.28600000000000003,0.76,-0.003,-0.006,0.001,-0.027000000000000003,-0.011000000000000001,-0.004,0.0151,0.27899999999999997,0.782
0,ARKANSAS,0.547,0.38676470588235295,2,1,0.128,0.10441176470588236,0.6705882352941176,0.51,1.5411764705882354,0.459,0.7073529411764706,0.371,0.5720588235294117,0.73,0.4176470588235294,0.271,1,9,5,108.7,0.317,0.2867647058823529,0.562,0.3397058823529412,0.068,0.06911764705882353,0.6176470588235294,0.504,1.4073529411764707,0.429,0.6044117647058823,0.313,0.4411764705882353,0.72,0.3176470588235294,0.226,0.214,0.18235294117647058,0.4808823529411765,1.7352941176470589,0.092,0.16911764705882354,0.422,0.5941176470588235,0.351,0.2088235294117647,0.8132352941176471,0.486,0.39558823529411763,0.455,0.8,0.537,0.191,0.38088235294117645,73.2,0.4147058823529412,1.9897058823529412,13.4,0.111,0.20294117647058824,3.23,0.344,0.5294117647058824,0.297,0.15735294117647058,1.011764705882353,0.544,0.55,0.545,0.9573529411764706,0.549,0.15,0.3205882352941177,0.706,12,0.73,1.12,0.51,0.175,0.319,0.371,0.968,0.504,0.20800000000000002,0.217,0.313,0.7659999999999999,0.002,0.013000000000000001,-0.008,0.006,-0.001,-0.03,0.0223,0.289,0.335
0,ARMY,0.511,0.3386861313868613,6,2,0.05,0.04671532846715328,0.6861313868613139,0.498,1.508029197080292,0.439,0.6627737226277373,0.319,0.48175182481751827,0.609,0.2934306569343066,0.195,1,7,7,100.1,0.305,0.28613138686131384,0.522,0.3416058394160584,0.11199999999999999,0.10802919708029197,0.6510948905109489,0.492,1.5401459854014599,0.425,0.654014598540146,0.213,0.3284671532846715,0.658,0.21605839416058395,0.14,0.272,0.2569343065693431,0.4321167883211679,1.7313868613138685,0.10800000000000001,0.19416058394160585,0.393,0.6058394160583942,0.342,0.2072992700729927,0.9343065693430657,0.478,0.4467153284671533,0.483,0.908029197080292,0.51,0.174,0.35766423357664234,71.8,0.36642335766423356,1.7956204379562044,-8.35,0.114,0.20437956204379562,-5.42,0.359,0.5416058394160584,0.326,0.17664233576642335,0.9664233576642336,0.503,0.48613138686131385,0.517,0.9722627737226277,0.517,0.16399999999999998,0.34014598540145985,0.588,10,0.7090000000000001,0.995,0.48700000000000004,0.19399999999999998,0.301,0.32899999999999996,1.065,0.516,0.193,0.285,0.221,0.754,-0.004,0.002,-0.011000000000000001,-0.026000000000000002,-0.021,-0.025,0.015,0.314,0.491
