,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,home_losses,home_wins,losses,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
ABILENE-CHRISTIAN,ABILENE-CHRISTIAN,0.573,0.3951219512195122,2,3,0.062,0.04390243902439024,0.5788617886178862,0.511,1.51869918699187,0.454,0.6894308943089431,0.35,0.5317073170731708,0.728,0.38699186991869916,0.255,2,8,4,105.7,0.273,0.24552845528455283,0.526,0.25853658536585367,0.08900000000000001,0.08780487804878048,0.6536585365853659,0.47,1.2113821138211383,0.405,0.49105691056910566,0.43,0.5203252032520326,0.694,0.36097560975609755,0.298,0.254,0.1967479674796748,0.5170731707317073,1.4991869918699188,0.08,0.14634146341463414,0.412,0.4991869918699187,0.313,0.15609756097560976,0.7121951219512195,0.47,0.33495934959349594,0.508,0.8504065040650407,0.514,0.28,0.5658536585365853,73.3,0.5219512195121951,1.9382113821138212,5.72,0.158,0.2894308943089431,-1.56,0.347,0.526829268292683,0.327,0.17235772357723578,0.991869918699187,0.521,0.5170731707317073,0.49200000000000005,0.824390243902439,0.547,0.151,0.31382113821138213,0.733,11
AIR-FORCE,AIR-FORCE,0.593,0.325,4,1,0.10300000000000001,0.08846153846153847,0.5807692307692308,0.536,1.2038461538461538,0.455,0.5480769230769231,0.23,0.27692307692307694,0.66,0.18269230769230768,0.152,0,5,5,93.0,0.172,0.11923076923076924,0.444,0.23461538461538461,0.081,0.05384615384615385,0.575,0.461,1.2769230769230768,0.414,0.5288461538461539,0.343,0.43846153846153846,0.728,0.3192307692307692,0.25,0.28300000000000003,0.22884615384615384,0.39615384615384613,1.4961538461538462,0.09699999999999999,0.15384615384615385,0.328,0.41923076923076924,0.284,0.11923076923076924,0.8576923076923076,0.478,0.4096153846153846,0.535,0.8038461538461539,0.504,0.179,0.3230769230769231,63.4,0.425,1.4730769230769232,-6.31,0.1,0.1576923076923077,-5.39,0.45,0.5423076923076923,0.358,0.19423076923076923,0.6615384615384615,0.535,0.35384615384615387,0.465,0.7,0.552,0.218,0.3730769230769231,0.615,8
AKRON,AKRON,0.5,0.3173076923076923,1,1,0.08199999999999999,0.075,0.6711538461538461,0.536,1.3788461538461538,0.46,0.6346153846153846,0.421,0.5807692307692308,0.652,0.37884615384615383,0.275,1,7,4,110.5,0.331,0.27884615384615385,0.381,0.21923076923076923,0.059000000000000004,0.046153846153846156,0.5634615384615385,0.471,1.3826923076923077,0.416,0.575,0.277,0.38269230769230766,0.673,0.25769230769230766,0.186,0.23,0.2,0.5134615384615384,1.5615384615384615,0.085,0.1423076923076923,0.338,0.4673076923076923,0.329,0.15384615384615385,0.9153846153846154,0.46,0.42115384615384616,0.446,0.7634615384615384,0.499,0.168,0.3153846153846154,67.2,0.41923076923076924,1.8557692307692308,1.25,0.08800000000000001,0.14807692307692308,-2.03,0.428,0.5903846153846154,0.352,0.2076923076923077,0.7884615384615384,0.541,0.4269230769230769,0.5539999999999999,0.95,0.561,0.155,0.3038461538461538,0.692,9
ALABAMA-AM,ALABAMA-AM,0.424,0.23392857142857143,9,2,0.078,0.0625,0.6428571428571429,0.413,1.4589285714285714,0.378,0.5517857142857143,0.275,0.4017857142857143,0.684,0.275,0.188,1,2,10,85.6,0.262,0.25357142857142856,0.637,0.3892857142857143,0.07,0.07678571428571429,0.7160714285714286,0.491,1.4696428571428573,0.416,0.6107142857142858,0.275,0.4035714285714286,0.695,0.28035714285714286,0.191,0.306,0.2839285714285714,0.39285714285714285,1.725,0.10300000000000001,0.17857142857142858,0.456,0.6696428571428571,0.333,0.22321428571428573,0.8,0.484,0.3875,0.527,1.0,0.519,0.17300000000000001,0.3482142857142857,69.2,0.4035714285714286,1.480357142857143,-14.76,0.10800000000000001,0.1875,-4.98,0.245,0.35714285714285715,0.285,0.10178571428571428,1.1017857142857144,0.408,0.45,0.473,0.8964285714285715,0.449,0.17,0.3375,0.286,4
ALABAMA-BIRMINGHAM,ALABAMA-BIRMINGHAM,0.44799999999999995,0.34558823529411764,2,2,0.11800000000000001,0.10588235294117647,0.6588235294117647,0.528,1.6455882352941176,0.469,0.7720588235294118,0.256,0.42058823529411765,0.696,0.2926470588235294,0.178,1,10,4,111.7,0.324,0.31176470588235294,0.49200000000000005,0.27058823529411763,0.08,0.08970588235294118,0.65,0.455,1.386764705882353,0.397,0.55,0.305,0.4235294117647059,0.705,0.2985294117647059,0.215,0.257,0.22794117647058823,0.38676470588235295,1.561764705882353,0.07400000000000001,0.13529411764705881,0.354,0.49117647058823527,0.332,0.16323529411764706,0.8955882352941177,0.432,0.38676470588235295,0.475,0.8779411764705882,0.492,0.225,0.46176470588235297,72.7,0.41911764705882354,2.0294117647058822,12.4,0.152,0.27647058823529413,-1.41,0.322,0.5294117647058824,0.364,0.19264705882352942,1.1161764705882353,0.519,0.5794117647058824,0.525,0.9705882352941176,0.55,0.132,0.27941176470588236,0.765,13
ALABAMA-STATE,ALABAMA-STATE,0.46799999999999997,0.28029197080291973,10,1,0.102,0.0905109489051095,0.6087591240875913,0.477,1.4043795620437955,0.426,0.5985401459854015,0.361,0.5065693430656935,0.68,0.3445255474452555,0.245,3,3,13,92.6,0.28,0.24525547445255474,0.5539999999999999,0.36642335766423356,0.111,0.10656934306569343,0.6291970802919709,0.506,1.5124087591240876,0.437,0.6613138686131387,0.339,0.5124087591240876,0.732,0.37518248175182484,0.248,0.331,0.3007299270072993,0.4335766423357664,1.905109489051095,0.11599999999999999,0.2116788321167883,0.414,0.6262773722627737,0.331,0.2072992700729927,0.8861313868613139,0.512,0.454014598540146,0.521,0.92992700729927,0.543,0.171,0.362043795620438,72.7,0.47153284671532847,1.6832116788321168,-10.84,0.106,0.1927007299270073,0.28,0.319,0.4481751824817518,0.316,0.1416058394160584,0.9562043795620438,0.478,0.4569343065693431,0.479,0.8540145985401459,0.512,0.203,0.41897810218978104,0.235,4
ALABAMA,ALABAMA,0.501,0.3703125,2,1,0.133,0.128125,0.690625,0.531,1.6140625,0.458,0.7390625,0.298,0.48125,0.705,0.3390625,0.21,1,7,5,111.4,0.34,0.3203125,0.452,0.3046875,0.11,0.096875,0.621875,0.489,1.5640625,0.431,0.6734375,0.32,0.5,0.666,0.3328125,0.213,0.294,0.2875,0.4546875,1.8609375,0.096,0.1765625,0.385,0.6015625,0.301,0.18125,0.9625,0.511,0.4921875,0.474,0.909375,0.516,0.152,0.321875,73.8,0.4484375,2.053125,18.79,0.095,0.175,11.1,0.456,0.7359375,0.321,0.2359375,0.878125,0.573,0.503125,0.526,1.0109375,0.557,0.152,0.3296875,0.688,11
ALBANY-NY,ALBANY-NY,0.39399999999999996,0.21666666666666667,6,2,0.077,0.065,0.5733333333333334,0.444,1.3916666666666666,0.395,0.55,0.279,0.3883333333333333,0.691,0.2683333333333333,0.193,3,2,10,89.4,0.256,0.22666666666666666,0.552,0.33,0.121,0.11333333333333333,0.6583333333333333,0.506,1.3633333333333333,0.439,0.5983333333333334,0.313,0.4266666666666667,0.688,0.29333333333333333,0.215,0.301,0.24666666666666667,0.4083333333333333,1.6733333333333333,0.081,0.13666666666666666,0.378,0.515,0.356,0.18333333333333332,0.8483333333333334,0.489,0.415,0.531,0.905,0.534,0.188,0.3616666666666667,67.2,0.475,1.5033333333333334,-10.28,0.111,0.18666666666666668,-3.48,0.326,0.4533333333333333,0.298,0.135,0.9383333333333334,0.442,0.415,0.469,0.8,0.477,0.174,0.33166666666666667,0.333,5
ALCORN-STATE,ALCORN-STATE,0.441,0.24833333333333332,11,4,0.07400000000000001,0.06,0.555,0.443,1.43,0.394,0.5633333333333334,0.253,0.3616666666666667,0.733,0.265,0.185,0,0,11,90.0,0.295,0.26666666666666666,0.64,0.4083333333333333,0.09699999999999999,0.09833333333333333,0.6366666666666667,0.532,1.365,0.468,0.6383333333333333,0.366,0.5,0.74,0.37,0.271,0.28800000000000003,0.225,0.3883333333333333,1.8216666666666668,0.102,0.17333333333333334,0.403,0.55,0.318,0.175,0.815,0.569,0.4633333333333333,0.512,0.8616666666666667,0.568,0.168,0.3233333333333333,68.1,0.43666666666666665,1.5333333333333334,-7.24,0.115,0.19666666666666666,4.29,0.294,0.42,0.337,0.14166666666666666,1.01,0.417,0.4216666666666667,0.488,0.8216666666666667,0.479,0.188,0.37,0.267,4
AMERICAN,AMERICAN,0.499,0.3105263157894737,7,2,0.084,0.08070175438596491,0.5982456140350877,0.485,1.4210526315789473,0.438,0.6228070175438597,0.215,0.30526315789473685,0.667,0.20350877192982456,0.143,2,2,10,91.3,0.191,0.1649122807017544,0.49,0.3508771929824561,0.087,0.08771929824561403,0.6964912280701754,0.556,1.4508771929824562,0.493,0.7157894736842105,0.284,0.41228070175438597,0.685,0.2824561403508772,0.195,0.239,0.18771929824561404,0.3280701754385965,1.894736842105263,0.099,0.17192982456140352,0.34,0.49298245614035086,0.367,0.18070175438596492,0.9578947368421052,0.559,0.5350877192982456,0.537,0.8842105263157894,0.575,0.14300000000000002,0.2754385964912281,69.2,0.3824561403508772,1.580701754385965,-18.45,0.087,0.15087719298245614,-5.67,0.291,0.41403508771929826,0.318,0.13157894736842105,1.0070175438596491,0.488,0.49122807017543857,0.46299999999999997,0.7631578947368421,0.505,0.172,0.3263157894736842,0.286,4
