,team1_assist_percentage,team1_assists,team1_block_percentage,team1_blocks,team1_defensive_rating,team1_defensive_rebound_percentage,team1_defensive_rebounds,team1_effective_field_goal_percentage,team1_field_goal_attempts,team1_field_goal_percentage,team1_field_goals,team1_free_throw_attempt_rate,team1_free_throw_attempts,team1_free_throw_percentage,team1_free_throws,team1_losses,team1_minutes_played,team1_offensive_rating,team1_offensive_rebound_percentage,team1_offensive_rebounds,team1_personal_fouls,team1_steal_percentage,team1_steals,team1_three_point_attempt_rate,team1_three_point_field_goal_attempts,team1_three_point_field_goal_percentage,team1_three_point_field_goals,team1_total_rebound_percentage,team1_total_rebounds,team1_true_shooting_percentage,team1_turnover_percentage,team1_turnovers,team1_two_point_field_goal_attempts,team1_two_point_field_goal_percentage,team1_two_point_field_goals,team1_win_percentage,team2_assist_percentage,team2_assists,team2_block_percentage,team2_blocks,team2_defensive_rating,team2_defensive_rebound_percentage,team2_defensive_rebounds,team2_effective_field_goal_percentage,team2_field_goal_attempts,team2_field_goal_percentage,team2_field_goals,team2_free_throw_attempt_rate,team2_free_throw_attempts,team2_free_throw_percentage,team2_free_throws,team2_losses,team2_minutes_played,team2_offensive_rating,team2_offensive_rebound_percentage,team2_offensive_rebounds,team2_personal_fouls,team2_steal_percentage,team2_steals,team2_three_point_attempt_rate,team2_three_point_field_goal_attempts,team2_three_point_field_goal_percentage,team2_three_point_field_goals,team2_total_rebound_percentage,team2_total_rebounds,team2_true_shooting_percentage,team2_turnover_percentage,team2_turnovers,team2_two_point_field_goal_attempts,team2_two_point_field_goal_percentage,team2_two_point_field_goals,team2_win_percentage,team1,points_for,team2,points_against,location_home,location_away,location_neutral
0,50.0,11,15.4,6,98.6,51.3,20,0.421,57,0.386,22,0.298,17,0.471,8,0,200,78.9,17.5,7,24,12.7,9,0.368,21,0.19,4,34.2,27,0.43,13.4,10,36,0.5,18,0.0,50.0,12,8.3,3,78.9,82.5,33,0.444,62,0.387,24,0.371,23,0.652,15,0,200,98.6,48.7,19,22,7.0,5,0.371,23,0.304,7,65.8,52,0.48,21.7,20,39,0.436,17,0.0,ABILENE-CHRISTIAN,56,UTAH,70,0,1,0
0,68.8,22,0.0,0,101.3,67.7,21,0.507,73,0.438,32,0.178,13,0.462,6,0,250,100.0,32.6,14,23,16.3,13,0.356,26,0.385,10,47.3,35,0.505,16.9,16,47,0.468,22,0.0,58.3,14,12.8,6,100.0,67.4,29,0.528,54,0.444,24,0.611,33,0.727,24,0,250,101.3,32.3,10,15,10.0,8,0.389,21,0.429,9,52.7,39,0.581,22.6,20,33,0.455,15,0.0,ABILENE-CHRISTIAN,80,TEXAS-AM,81,0,1,0
0,59.1,13,0.0,0,86.6,76.7,23,0.381,67,0.328,22,0.567,38,0.763,29,0,225,97.6,36.2,17,25,18.3,15,0.299,20,0.35,7,51.9,40,0.47,14.3,14,47,0.319,15,0.0,66.7,16,14.9,7,97.6,63.8,30,0.529,51,0.471,24,0.471,24,0.708,17,0,225,86.6,23.3,7,30,9.8,8,0.275,14,0.429,6,48.1,37,0.569,29.7,26,37,0.486,18,0.0,ABILENE-CHRISTIAN,80,TEXAS-ARLINGTON,71,0,1,0
0,47.2,17,0.0,0,87.8,100.0,20,0.636,66,0.545,36,0.303,20,0.7,14,0,200,132.4,29.0,9,21,13.5,10,0.364,24,0.5,12,56.9,29,0.649,9.7,8,42,0.571,24,0.0,50.0,10,4.8,2,132.4,71.0,22,0.523,43,0.465,20,0.581,25,0.8,20,0,200,87.8,0.0,0,21,4.1,3,0.465,20,0.25,5,43.1,22,0.592,25.0,18,23,0.652,15,0.0,ABILENE-CHRISTIAN,98,INCARNATE-WORD,65,1,0,0
0,40.0,8,12.5,5,88.1,71.1,27,0.522,45,0.444,20,0.267,12,0.5,6,0,200,79.1,0.0,0,18,7.5,5,0.511,23,0.304,7,42.2,27,0.523,24.1,16,22,0.591,13,0.0,47.6,10,9.1,2,79.1,100.0,26,0.414,58,0.362,21,0.276,16,0.688,11,0,200,88.1,28.9,11,15,9.0,6,0.31,18,0.333,6,57.8,37,0.45,15.6,12,40,0.375,15,0.0,AIR-FORCE,53,SOUTH-DAKOTA,59,0,0,1
0,54.2,13,8.1,3,92.1,75.0,24,0.582,49,0.49,24,0.061,3,0.667,2,0,200,93.7,20.0,4,13,4.8,3,0.551,27,0.333,9,53.8,28,0.585,25.3,17,22,0.682,15,0.0,31.8,7,4.5,1,93.7,80.0,16,0.432,59,0.373,22,0.136,8,0.875,7,0,200,92.1,25.0,8,11,9.5,6,0.373,22,0.318,7,46.2,24,0.462,11.3,8,37,0.405,15,0.0,AIR-FORCE,59,TULSA,58,0,1,0
0,52.4,11,10.8,4,89.1,64.3,18,0.532,47,0.447,21,0.426,20,0.55,11,0,200,95.3,20.7,6,17,9.4,6,0.574,27,0.296,8,42.1,24,0.54,18.9,13,20,0.65,13,0.0,35.0,7,5.0,1,95.3,79.3,23,0.429,49,0.408,20,0.388,19,0.789,15,0,200,89.1,35.7,10,21,9.4,6,0.245,12,0.167,2,57.9,33,0.491,21.8,16,37,0.486,18,0.0,AIR-FORCE,61,TEXAS-SOUTHERN,57,1,0,0
0,5.6,1,11.4,4,109.1,78.1,25,0.375,48,0.375,18,0.5,24,0.708,17,0,200,80.3,48.4,15,18,6.1,4,0.167,8,0.0,0,63.5,40,0.446,26.4,21,40,0.45,18,0.0,53.6,15,15.0,6,80.3,51.6,16,0.551,59,0.475,28,0.169,10,0.7,7,0,200,109.1,21.9,7,20,16.7,11,0.407,24,0.375,9,36.5,23,0.565,12.4,9,35,0.543,19,0.0,AIR-FORCE,72,HOLY-CROSS,53,0,0,1
0,43.5,10,8.1,3,106.6,82.6,19,0.564,47,0.489,23,0.511,24,0.833,20,0,200,119.7,33.3,8,17,9.8,6,0.383,18,0.389,7,57.4,27,0.625,14.8,10,29,0.552,16,0.0,37.5,9,13.8,4,119.7,66.7,16,0.567,45,0.533,24,0.422,19,0.737,14,0,200,106.6,17.4,4,22,14.8,9,0.178,8,0.375,3,42.6,20,0.602,18.4,12,37,0.568,21,0.0,AIR-FORCE,73,BETHUNE-COOKMAN,65,0,0,1
0,68.0,17,13.5,5,98.5,83.3,25,0.594,48,0.521,25,0.292,14,0.643,9,0,200,100.0,8.3,2,17,7.6,5,0.354,17,0.412,7,50.0,27,0.604,20.5,14,31,0.581,18,0.0,53.8,14,9.7,3,100.0,91.7,22,0.546,54,0.481,26,0.185,10,0.6,6,0,200,98.5,16.7,5,18,7.6,5,0.315,17,0.412,7,50.0,27,0.553,15.9,11,37,0.514,19,0.0,AIR-FORCE,66,DENVER,65,1,0,0
