,team1_assist_percentage,team1_assists,team1_block_percentage,team1_blocks,team1_defensive_rating,team1_defensive_rebound_percentage,team1_defensive_rebounds,team1_effective_field_goal_percentage,team1_field_goal_attempts,team1_field_goal_percentage,team1_field_goals,team1_free_throw_attempt_rate,team1_free_throw_attempts,team1_free_throw_percentage,team1_free_throws,team1_losses,team1_minutes_played,team1_offensive_rating,team1_offensive_rebound_percentage,team1_offensive_rebounds,team1_personal_fouls,team1_steal_percentage,team1_steals,team1_three_point_attempt_rate,team1_three_point_field_goal_attempts,team1_three_point_field_goal_percentage,team1_three_point_field_goals,team1_total_rebound_percentage,team1_total_rebounds,team1_true_shooting_percentage,team1_turnover_percentage,team1_turnovers,team1_two_point_field_goal_attempts,team1_two_point_field_goal_percentage,team1_two_point_field_goals,team1_win_percentage,team2_assist_percentage,team2_assists,team2_block_percentage,team2_blocks,team2_defensive_rating,team2_defensive_rebound_percentage,team2_defensive_rebounds,team2_effective_field_goal_percentage,team2_field_goal_attempts,team2_field_goal_percentage,team2_field_goals,team2_free_throw_attempt_rate,team2_free_throw_attempts,team2_free_throw_percentage,team2_free_throws,team2_losses,team2_minutes_played,team2_offensive_rating,team2_offensive_rebound_percentage,team2_offensive_rebounds,team2_personal_fouls,team2_steal_percentage,team2_steals,team2_three_point_attempt_rate,team2_three_point_field_goal_attempts,team2_three_point_field_goal_percentage,team2_three_point_field_goals,team2_total_rebound_percentage,team2_total_rebounds,team2_true_shooting_percentage,team2_turnover_percentage,team2_turnovers,team2_two_point_field_goal_attempts,team2_two_point_field_goal_percentage,team2_two_point_field_goals,team2_win_percentage,team1,points_for,team2,points_against,location_home,location_away,location_neutral
0,43.3,13,6.3,2,107.5,65.2,15,0.531,65,0.462,30,0.308,20,0.7,14,1,225,103.8,8.8,3,26,15.0,12,0.385,25,0.36,9,31.6,18,0.557,9.8,8,40,0.525,21,0.5,55.6,15,12.5,5,103.8,91.2,31,0.596,52,0.519,27,0.615,32,0.75,24,0,225,107.5,34.8,8,17,5.0,4,0.385,20,0.4,8,68.4,39,0.64,25.0,22,32,0.594,19,0.0,ABILENE-CHRISTIAN,83,DREXEL,86,0,1,0
0,45.0,9,0.0,0,100.0,81.5,22,0.45,50,0.4,20,0.66,33,0.727,24,0,200,94.5,30.0,9,20,13.7,10,0.36,18,0.278,5,54.4,31,0.525,18.9,15,32,0.469,15,0.0,39.1,9,3.1,1,94.5,70.0,21,0.52,51,0.451,23,0.451,23,0.87,20,1,200,100.0,18.5,5,22,12.3,9,0.412,21,0.333,7,45.6,26,0.589,21.8,17,30,0.533,16,0.75,ABILENE-CHRISTIAN,69,PEPPERDINE,73,1,0,0
0,72.7,16,3.6,1,112.5,69.6,16,0.432,59,0.373,22,0.153,9,0.778,7,3,200,90.6,29.0,9,17,9.4,6,0.441,26,0.269,7,46.3,25,0.458,14.9,11,33,0.455,15,0.25,51.9,14,12.1,4,90.6,71.0,22,0.6,50,0.54,27,0.3,15,0.8,12,0,200,112.5,30.4,7,13,6.3,4,0.44,22,0.273,6,53.7,29,0.63,17.5,12,28,0.75,21,0.0,ABILENE-CHRISTIAN,58,NEVADA-LAS-VEGAS,72,0,1,0
0,36.8,7,14.3,5,89.7,82.1,23,0.384,56,0.339,19,0.304,17,0.765,13,4,200,82.4,32.4,11,20,7.4,5,0.232,13,0.385,5,54.8,34,0.437,20.1,16,43,0.326,14,0.333,50.0,12,11.6,5,82.4,67.6,23,0.53,50,0.48,24,0.34,17,0.471,8,0,200,89.7,17.9,5,14,13.2,9,0.3,15,0.333,5,45.2,28,0.525,18.4,13,35,0.543,19,0.0,ABILENE-CHRISTIAN,56,TEXAS-STATE,61,0,1,0
0,47.1,8,0.0,0,116.7,77.8,14,0.375,52,0.327,17,0.288,15,0.8,12,5,200,85.0,20.6,7,16,11.7,7,0.365,19,0.263,5,40.4,21,0.431,13.3,9,33,0.364,12,0.286,57.7,15,15.2,5,85.0,79.4,27,0.702,42,0.619,26,0.333,14,0.786,11,0,200,116.7,22.2,4,16,11.7,7,0.405,17,0.412,7,59.6,31,0.719,22.5,14,25,0.76,19,0.0,ABILENE-CHRISTIAN,51,SOUTHERN-METHODIST,70,0,1,0
0,47.8,11,4.9,2,86.5,80.0,28,0.455,56,0.411,23,0.482,27,0.815,22,0,200,98.6,23.3,7,20,10.8,8,0.339,19,0.263,5,53.8,35,0.53,16.1,13,37,0.486,18,0.0,31.6,6,8.1,3,98.6,76.7,23,0.37,54,0.352,19,0.519,28,0.857,24,5,200,86.5,20.0,7,19,9.5,7,0.241,13,0.154,2,46.2,30,0.475,16.4,13,41,0.415,17,0.375,ABILENE-CHRISTIAN,73,SOUTHEAST-MISSOURI-STATE,64,1,0,0
0,75.0,18,7.7,3,91.0,84.6,22,0.55,50,0.48,24,0.6,30,0.733,22,5,200,98.7,27.6,8,22,14.1,11,0.3,15,0.467,7,54.5,30,0.599,24.9,21,35,0.486,17,0.545,59.1,13,11.4,4,98.7,72.4,21,0.49,48,0.458,22,0.542,26,0.923,24,0,200,91.0,15.4,4,27,12.8,10,0.188,9,0.333,3,45.5,25,0.588,27.0,22,39,0.487,19,0.0,ABILENE-CHRISTIAN,77,NEW-ORLEANS,71,0,1,0
0,73.3,22,14.7,5,79.2,68.6,24,0.582,55,0.545,30,0.345,19,0.789,15,0,200,102.6,25.9,7,25,14.3,11,0.327,18,0.222,4,50.0,31,0.617,23.1,19,37,0.703,26,0.0,22.2,4,5.4,2,102.6,74.1,20,0.375,52,0.346,18,0.577,30,0.733,22,6,200,79.2,31.4,11,20,14.3,11,0.346,18,0.167,3,50.0,31,0.46,25.2,22,34,0.441,15,0.538,ABILENE-CHRISTIAN,79,NICHOLLS-STATE,61,1,0,0
0,42.9,9,10.0,4,110.5,60.6,20,0.435,54,0.389,21,0.426,23,0.826,19,6,200,86.8,16.7,5,23,10.5,8,0.389,21,0.238,5,39.7,25,0.508,21.9,18,33,0.485,16,0.538,55.2,16,15.2,5,86.8,83.3,25,0.561,57,0.509,29,0.509,29,0.69,20,0,200,110.5,39.4,13,20,10.5,8,0.298,17,0.353,6,60.3,38,0.593,18.7,16,40,0.575,23,0.0,ABILENE-CHRISTIAN,66,WICHITA-STATE,84,0,1,0
0,46.4,13,5.7,2,87.3,70.4,19,0.492,64,0.438,28,0.25,16,0.688,11,6,200,104.2,34.3,12,17,12.7,9,0.344,22,0.318,7,50.0,31,0.517,14.5,12,42,0.5,21,0.571,59.1,13,19.0,8,104.2,65.7,23,0.49,49,0.449,22,0.367,18,0.778,14,0,200,87.3,29.6,8,14,9.9,7,0.286,14,0.286,4,50.0,31,0.539,27.0,21,35,0.514,18,0.0,ABILENE-CHRISTIAN,74,LAMAR,62,0,1,0
