,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,home_losses,home_wins,losses,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins,AdjTempo,AdjOE,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,AdjDE,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,AvgHgt,EffHgt,C-Hgt,PF-Hgt,SF-Hgt,SG-Hgt,PG-Hgt,Experience,Bench,Continuity,Tempo-Adj,Avg. Poss Length-Offense,Avg. Poss Length-Defense,Off. Efficiency-Adj,Def. Efficiency-Adj,Off-FT,Off-2P,Off-3P,Def-FT,Def-2P,Def-3P
0,ABILENE-CHRISTIAN,0.57,0.37384615384615383,6,6,0.064,0.046153846153846156,0.5323076923076923,0.495,1.4923076923076923,0.439,0.6553846153846153,0.376,0.5615384615384615,0.749,0.4207692307692308,0.282,3,14,9,105.3,0.294,0.26153846153846155,0.51,0.2676923076923077,0.091,0.0876923076923077,0.6292307692307693,0.501,1.2092307692307693,0.434,0.5253846153846153,0.483,0.5846153846153846,0.724,0.4230769230769231,0.35,0.294,0.22153846153846155,0.5223076923076924,1.6346153846153846,0.073,0.13230769230769232,0.399,0.48307692307692307,0.333,0.16076923076923078,0.7261538461538461,0.502,0.3646153846153846,0.517,0.8507692307692307,0.55,0.264,0.5338461538461539,72.1,0.5492307692307692,1.8976923076923078,3.08,0.153,0.2753846153846154,-2.35,0.355,0.53,0.313,0.16615384615384615,0.9623076923076923,0.508,0.48923076923076925,0.483,0.7938461538461539,0.539,0.149,0.30846153846153845,0.719,23,0.7040000000000001,1.036,0.48100000000000004,0.175,0.28,0.387,0.9940000000000001,0.515,0.287,0.309,0.491,0.743,-0.019,-0.017,-0.021,-0.027999999999999997,-0.032,-0.037000000000000005,0.024300000000000002,0.337,0.652,70.4,16.6,17.1,103.6,99.4,23.0,49.8,27.2,25.5,45.0,29.4
0,AIR-FORCE,0.5770000000000001,0.3120689655172414,10,2,0.091,0.07586206896551724,0.5155172413793103,0.509,1.2387931034482758,0.436,0.5405172413793103,0.268,0.33189655172413796,0.649,0.21551724137931033,0.174,6,7,18,93.1,0.196,0.1482758620689655,0.474,0.27327586206896554,0.11900000000000001,0.08362068965517241,0.6094827586206897,0.515,1.2456896551724137,0.463,0.5767241379310345,0.389,0.4844827586206897,0.76,0.36810344827586206,0.296,0.294,0.21465517241379312,0.41982758620689653,1.6508620689655173,0.085,0.13448275862068965,0.333,0.4146551724137931,0.312,0.12931034482758622,0.8310344827586207,0.538,0.44741379310344825,0.5539999999999999,0.8241379310344827,0.559,0.179,0.32155172413793104,63.4,0.4508620689655172,1.4758620689655173,-5.12,0.086,0.13620689655172413,1.88,0.435,0.5387931034482759,0.333,0.1793103448275862,0.7,0.516,0.3612068965517241,0.446,0.6637931034482759,0.528,0.196,0.34051724137931033,0.379,11,0.634,0.961,0.509,0.215,0.196,0.268,1.0390000000000001,0.515,0.203,0.294,0.389,0.77,-0.011000000000000001,-0.003,-0.018000000000000002,-0.002,0.008,0.017,0.0104,0.301,0.354,63.4,20.3,17.3,96.1,103.9,14.6,48.9,36.4,22.3,54.2,23.5
0,AKRON,0.48100000000000004,0.2926070038910506,4,8,0.094,0.08326848249027237,0.6319066147859922,0.534,1.3214007782101167,0.46,0.6077821011673151,0.396,0.5229571984435798,0.686,0.3587548638132296,0.271,3,12,9,109.9,0.308,0.24747081712062258,0.4,0.2311284046692607,0.071,0.054474708171206226,0.556420233463035,0.482,1.3665369649805448,0.423,0.5774319066147859,0.263,0.3595330739299611,0.701,0.25214007782101167,0.185,0.253,0.2140077821011673,0.4778210116731518,1.5704280155642023,0.084,0.13540856031128404,0.353,0.48171206225680935,0.339,0.16342412451361868,0.8848249027237354,0.468,0.4140077821011673,0.467,0.7704280155642024,0.511,0.159,0.29027237354085605,64.4,0.4,1.7696498054474707,0.27,0.087,0.14085603112840467,-4.37,0.419,0.5540856031128405,0.353,0.1953307392996109,0.7673151750972763,0.538,0.41245136186770426,0.5329999999999999,0.8793774319066148,0.564,0.154,0.2856031128404669,0.719,23,0.623,1.054,0.525,0.17800000000000002,0.29,0.4,1.03,0.49200000000000005,0.172,0.26,0.267,0.764,0.001,0.0,0.003,-0.008,-0.02,-0.001,0.011699999999999999,0.264,0.5479999999999999,62.3,19.1,18.3,105.4,103.0,20.8,46.0,33.1,16.0,52.8,31.2
0,ALABAMA-AM,0.434,0.2336065573770492,14,4,0.08800000000000001,0.07868852459016394,0.6549180327868852,0.413,1.419672131147541,0.379,0.5377049180327869,0.335,0.47622950819672133,0.713,0.33934426229508197,0.239,3,7,18,88.5,0.287,0.27377049180327867,0.564,0.3319672131147541,0.066,0.07049180327868852,0.680327868852459,0.463,1.4680327868852459,0.401,0.5885245901639344,0.286,0.4204918032786885,0.684,0.28770491803278686,0.196,0.309,0.2934426229508197,0.4155737704918033,1.6475409836065573,0.10800000000000001,0.18524590163934426,0.389,0.5704918032786885,0.32,0.18278688524590164,0.8975409836065574,0.452,0.4057377049180328,0.512,0.9737704918032787,0.494,0.16699999999999998,0.3344262295081967,68.3,0.3959016393442623,1.5106557377049181,-14.18,0.10099999999999999,0.17295081967213113,-8.62,0.249,0.3540983606557377,0.271,0.0959016393442623,1.0655737704918034,0.415,0.4418032786885246,0.488,0.9286885245901639,0.459,0.16899999999999998,0.3336065573770492,0.4,12,0.667,0.8759999999999999,0.413,0.196,0.287,0.335,1.011,0.46299999999999997,0.196,0.31,0.28600000000000003,0.7659999999999999,-0.001,-0.004,0.002,0.006,-0.013999999999999999,-0.006,0.0172,0.273,0.726,66.7,17.8,17.3,87.6,101.1,22.5,58.5,19.0,17.5,49.3,33.3
0,ALABAMA-BIRMINGHAM,0.44,0.3243445692883895,4,7,0.121,0.10636704119850188,0.6479400749063671,0.53,1.5767790262172285,0.467,0.7370786516853932,0.277,0.43745318352059925,0.735,0.32134831460674157,0.204,2,16,7,113.0,0.33799999999999997,0.30262172284644195,0.474,0.27415730337078653,0.085,0.0898876404494382,0.5932584269662922,0.474,1.400749063670412,0.413,0.5782771535580524,0.307,0.4299625468164794,0.713,0.3063670411985019,0.219,0.271,0.24119850187265918,0.3842696629213483,1.6337078651685393,0.076,0.13408239700374533,0.372,0.5213483146067416,0.328,0.1707865168539326,0.8794007490636704,0.463,0.40749063670411984,0.467,0.8344569288389513,0.509,0.2,0.40224719101123596,70.6,0.41048689138576777,1.993258426966292,11.08,0.136,0.2397003745318352,-0.82,0.333,0.5243445692883895,0.377,0.19775280898876405,1.0524344569288389,0.512,0.5393258426966292,0.5329999999999999,0.950561797752809,0.558,0.136,0.2801498127340824,0.788,26,0.69,1.122,0.528,0.161,0.332,0.28600000000000003,0.9840000000000001,0.48,0.21600000000000003,0.27,0.318,0.767,0.004,0.011000000000000001,-0.002,-0.009000000000000001,-0.003,-0.011000000000000001,0.0218,0.311,0.516,69.0,16.3,17.7,112.2,98.4,16.6,53.7,29.6,19.1,49.9,31.0
0,ALABAMA-STATE,0.49700000000000005,0.2984,15,3,0.096,0.0888,0.5888,0.481,1.4096,0.426,0.6008,0.378,0.5328,0.698,0.372,0.264,6,7,21,96.7,0.297,0.2608,0.534,0.3512,0.102,0.096,0.6176,0.503,1.4904,0.441,0.6576,0.339,0.5056,0.723,0.3656,0.245,0.331,0.2912,0.4432,1.8656,0.107,0.1912,0.377,0.5624,0.329,0.1848,0.928,0.509,0.4728,0.517,0.9088,0.539,0.168,0.3496,71.4,0.4488,1.728,-11.81,0.105,0.1872,-5.21,0.33,0.4648,0.332,0.1544,0.9448,0.472,0.4464,0.483,0.8496,0.52,0.187,0.3816,0.323,10,0.696,0.973,0.47700000000000004,0.21600000000000003,0.295,0.369,1.105,0.504,0.195,0.336,0.33799999999999997,0.767,-0.004,-0.012,0.003,0.006999999999999999,-0.005,-0.006,0.0111,0.37200000000000005,0.39899999999999997,69.6,16.7,17.1,97.3,110.5,21.4,51.6,27.0,19.7,50.6,29.8
0,ALABAMA,0.529,0.3642023346303502,7,3,0.11900000000000001,0.11750972762645914,0.6575875486381323,0.515,1.5626459143968872,0.441,0.688715953307393,0.336,0.5245136186770428,0.73,0.38287937743190664,0.245,3,13,13,108.7,0.35600000000000004,0.3369649805447471,0.462,0.30817120622568095,0.11599999999999999,0.09416342412451362,0.6101167315175098,0.494,1.5361867704280157,0.435,0.667704280155642,0.352,0.5400778210116731,0.712,0.38443579766536967,0.25,0.307,0.29105058365758757,0.4583657587548638,1.9027237354085602,0.105,0.19299610894941635,0.359,0.551750972762646,0.331,0.1828793774319066,0.9844357976653697,0.492,0.4848249027237354,0.475,0.9011673151750973,0.531,0.153,0.3245136186770428,73.3,0.46303501945525294,1.9914396887159533,15.56,0.095,0.1743190661478599,12.0,0.48,0.7494163424124514,0.308,0.2311284046692607,0.8132295719844358,0.563,0.4575875486381323,0.525,0.9945525291828794,0.55,0.16699999999999998,0.36264591439688715,0.594,19,0.7190000000000001,1.161,0.515,0.198,0.355,0.336,0.987,0.494,0.177,0.307,0.35200000000000004,0.7709999999999999,0.0,0.006,-0.006,0.002,-0.002,0.006999999999999999,0.0165,0.29600000000000004,0.44799999999999995,71.9,15.5,17.4,116.1,98.7,19.2,46.0,34.8,20.2,51.0,28.8
0,ALCORN-STATE,0.43200000000000005,0.2589147286821705,12,9,0.077,0.06744186046511629,0.6023255813953489,0.463,1.4387596899224806,0.417,0.6,0.324,0.4666666666666667,0.694,0.324031007751938,0.225,3,6,15,96.3,0.317,0.28604651162790695,0.563,0.34418604651162793,0.094,0.09534883720930233,0.6155038759689923,0.506,1.3790697674418604,0.443,0.6108527131782946,0.363,0.5,0.707,0.35348837209302325,0.256,0.275,0.22868217054263565,0.4248062015503876,1.7488372093023257,0.1,0.17131782945736435,0.364,0.5015503875968992,0.346,0.17364341085271318,0.8775193798449612,0.498,0.4372093023255814,0.48700000000000004,0.8441860465116279,0.541,0.16899999999999998,0.32945736434108525,68.8,0.43643410852713177,1.6573643410852714,-8.16,0.109,0.1868217054263566,-4.47,0.295,0.42403100775193797,0.314,0.13333333333333333,1.0147286821705426,0.46,0.4666666666666667,0.513,0.8883720930232558,0.499,0.174,0.35038759689922483,0.531,17,0.677,0.976,0.46299999999999997,0.205,0.317,0.324,1.053,0.506,0.192,0.276,0.363,0.759,-0.005,-0.012,0.002,-0.006,-0.026000000000000002,-0.013999999999999999,0.0178,0.418,0.244,67.7,18.6,16.6,97.6,105.3,19.6,56.3,24.1,20.2,50.0,29.8
0,AMERICAN,0.499,0.3023255813953488,16,4,0.083,0.07596899224806201,0.5875968992248062,0.496,1.3465116279069766,0.45,0.6054263565891473,0.256,0.34418604651162793,0.694,0.23875968992248062,0.177,5,6,22,94.2,0.21600000000000003,0.17286821705426356,0.51,0.33565891472868215,0.08199999999999999,0.07984496124031008,0.6271317829457365,0.533,1.3906976744186046,0.473,0.6581395348837209,0.289,0.40232558139534885,0.692,0.27829457364341087,0.2,0.248,0.1937984496124031,0.35271317829457366,1.7596899224806202,0.1,0.16744186046511628,0.342,0.475968992248062,0.347,0.16511627906976745,0.9147286821705426,0.539,0.4930232558139535,0.519,0.8209302325581396,0.556,0.152,0.28449612403100777,66.8,0.3697674418604651,1.5744186046511628,-15.21,0.09699999999999999,0.162015503875969,-7.74,0.28,0.37751937984496126,0.331,0.1248062015503876,0.9689922480620154,0.496,0.4806201550387597,0.48100000000000004,0.7604651162790698,0.521,0.18,0.3310077519379845,0.313,10,0.65,0.946,0.496,0.203,0.251,0.256,1.109,0.5329999999999999,0.174,0.29,0.289,0.767,0.002,-0.002,0.006999999999999999,0.001,-0.0,-0.019,0.016399999999999998,0.302,0.5479999999999999,65.0,19.7,16.8,94.6,110.9,15.2,61.1,23.8,15.8,56.0,28.1
0,APPALACHIAN-STATE,0.517,0.31169811320754715,7,6,0.067,0.05811320754716981,0.630188679245283,0.488,1.4460377358490566,0.417,0.6030188679245283,0.267,0.38566037735849057,0.659,0.25433962264150944,0.176,4,11,14,102.0,0.276,0.2490566037735849,0.555,0.32528301886792454,0.096,0.07924528301886792,0.6535849056603774,0.476,1.4022641509433962,0.418,0.5856603773584905,0.213,0.2988679245283019,0.75,0.2241509433962264,0.16,0.251,0.21132075471698114,0.37735849056603776,1.559245283018868,0.078,0.12679245283018867,0.383,0.5373584905660377,0.305,0.16377358490566038,0.8649056603773585,0.488,0.4218867924528302,0.496,0.8649056603773585,0.505,0.162,0.29962264150943396,65.3,0.3222641509433962,1.6656603773584906,-0.92,0.086,0.13962264150943396,-1.12,0.427,0.6173584905660378,0.333,0.20528301886792452,0.8286792452830188,0.48,0.39773584905660375,0.504,0.879245283018868,0.511,0.134,0.25207547169811323,0.576,19,0.643,1.018,0.48100000000000004,0.158,0.266,0.26899999999999996,1.006,0.49700000000000005,0.18,0.261,0.21899999999999997,0.764,-0.002,0.002,-0.005,-0.012,-0.006999999999999999,-0.005,0.0246,0.209,0.8340000000000001,64.3,19.5,17.4,101.8,100.6,15.7,46.8,37.5,14.2,54.3,31.5
